Parameter,Value
A1,0.00018865154584213418
n1,-0.6981834523513418
E1,24234.30406073466
Ah,1.5398307076104654e-05
nh,-1.4506748992092768
Eh,14782.041463167607
Teq,816.7743866325164
k,0.07322077603303791
w,-0.8161565668788032
C0,5682.324890430596
xf,1.020495116767631
