Time(msec),Integral_1st,Integral_CF,Integral_HI,Integral_Total
0.0,0.0,0.0,0.0,0.0
1.0,0.06009817828730851,0.06009817828730851,0.06009817828730851,0.06009817828730851
2.0,0.11925039685817271,0.11925039685817271,0.11925039685817271,0.11925039685817271
3.0,0.17861570722851652,0.17861570722851652,0.17861570722851652,0.17861570722851652
4.0,0.2382432134764022,0.2382432134764022,0.2382432134764022,0.2382432134764022
5.0,0.2971364971737164,0.2971364971737164,0.2971364971737164,0.2971364971737164
6.0,0.3558801219674642,0.3558801219674642,0.3558801219674642,0.3558801219674642
7.0,0.4140736535444943,0.4140736535444943,0.4140736535444943,0.4140736535444943
8.0,0.4712002941671162,0.4712002941671162,0.4712002941671162,0.4712002941671162
9.0,0.527422569292735,0.527422569292735,0.527422569292735,0.527422569292735
10.0,0.5830859694046732,0.5830859694046732,0.5830859694046732,0.5830859694046732
11.0,0.6383100337792064,0.6383100337792064,0.6383100337792064,0.6383100337792064
12.0,0.692924083916113,0.692924083916113,0.692924083916113,0.692924083916113
13.0,0.7475428335469209,0.7475428335469209,0.7475428335469209,0.7475428335469209
14.0,0.8011402106932849,0.8011402106932849,0.8011402106932849,0.8011402106932849
15.0,0.8531971818868679,0.8531971818868679,0.8531971818868679,0.8531971818868679
16.0,0.90447276398488,0.90447276398488,0.90447276398488,0.90447276398488
17.0,0.9542544537993377,0.9542544537993377,0.9542544537993377,0.9542544537993377
18.0,1.0021338447167192,1.0021338447167192,1.0021338447167192,1.0021338447167192
19.0,1.0469068946079094,1.0469068946079094,1.0469068946079094,1.0469068946079094
20.0,1.0887285781752563,1.0887285781752563,1.0887285781752563,1.0887285781752563
21.0,1.1278525942485622,1.1278525942485622,1.1278525942485622,1.1278525942485622
22.0,1.163942559244656,1.163942559244656,1.163942559244656,1.163942559244656
23.0,1.1970762547293508,1.1970762547293508,1.1970762547293508,1.1970762547293508
24.0,1.2276559093734192,1.2276559093734192,1.2276559093734192,1.2276559093734192
25.0,1.2550893528318747,1.2550893528318747,1.2550893528318747,1.2550893528318747
26.0,1.2799245140162778,1.2799245140162778,1.2799245140162778,1.2799245140162778
27.0,1.301848025572868,1.301848025572868,1.301848025572868,1.301848025572868
28.0,1.320821463852888,1.320821463852888,1.320821463852888,1.320821463852888
29.0,1.3370937913211434,1.3370937913211434,1.3370937913211434,1.3370937913211434
30.0,1.3508006536498547,1.3508006536498547,1.3508006536498547,1.3508006536498547
31.0,1.3620075469098183,1.3620075469098183,1.3620075469098183,1.3620075469098183
32.0,1.3711119830281777,1.3711119830281777,1.3711119830281777,1.3711119830281777
33.0,1.3784908188396998,1.3784908188396998,1.3784908188396998,1.3784908188396998
34.0,1.3841409225980847,1.3841409225980847,1.3841409225980847,1.3841409225980847
35.0,1.3883676756337635,1.3883676756337635,1.3883676756337635,1.3883676756337635
36.0,1.3914688045420658,1.3914688045420658,1.3914688045420658,1.3914688045420658
37.0,1.3936354949971768,1.3936354949971768,1.3936354949971768,1.3936354949971768
38.0,1.3950803550662014,1.3950803550662014,1.3950803550662014,1.3950803550662014
39.0,1.3959926680722081,1.3959926680722081,1.3959926680722081,1.3959926680722081
40.0,1.3965328196074787,1.3965328196074787,1.3965328196074787,1.3965328196074787
40.1,1.3965618743076407,1.3965618743076407,1.3965618743076407,1.3965618743076407
40.2,1.396589054867834,1.396589054867834,1.396589054867834,1.396589054867834
40.3,1.3966143586844402,1.3966143586844402,1.3966143586844402,1.3966143586844402
40.4,1.396637869120995,1.396637869120995,1.396637869120995,1.396637869120995
40.5,1.3966597519000357,1.3966597519000357,1.3966597519000357,1.3966597519000357
40.6,1.396680084565155,1.396680084565155,1.396680084565155,1.396680084565155
40.7,1.3966989165122154,1.3966989165122154,1.3966989165122154,1.3966989165122154
40.8,1.3967163480539828,1.3967163480539828,1.3967163480539828,1.3967163480539828
40.9,1.3967324887345904,1.3967324887345904,1.3967324887345904,1.3967324887345904
