Parameter,Value
A1,3.357493620114325e-06
n1,-0.9528530132676347
E1,29200.113654647466
Ah,1.2027144475462312e-05
nh,-1.414794130373229
Eh,20058.362066842292
Teq,797.7009798404853
k,0.05061090481062408
w,-1.4532899220591546
C0,3846.628907130904
xf,1.0613889574497104
