Time(msec), Temperature(K), Pressure(bar)
0.0,843.11,16.4572380221366
1.0,842.6411065953629,16.4482388028571
2.0,842.8422964522763,16.4370917099527
3.0,842.6552689022311,16.4230275987804
4.0,842.1189895392581,16.4077096163168
5.0,841.612496913644,16.3796147546358
6.0,841.4410482561414,16.3568195750933
7.0,841.2562291045247,16.3205953280754
8.0,840.689734723513,16.2993135349901
9.0,840.7571851241265,16.2807991135316
10.0,840.0153672581848,16.2563541371694
11.0,839.1021313278989,16.2425152711498
12.0,839.6393344357502,16.2209021999022
13.0,838.1688163502524,16.1864714405593
14.0,837.3359371998218,16.157591330686
15.0,835.3658730292414,16.1393401702139
16.0,833.7933333760875,16.1281166472455
17.0,832.2731891785346,16.1130715882002
18.0,828.2869048091154,16.0976395855004
19.0,822.6931512998473,16.0795683183407
20.0,818.3728490771938,16.0558152556663
21.0,814.5066217813303,16.0358077317299
22.0,808.0735407241792,16.0083516146617
23.0,803.5653378413133,15.983670363175
24.0,798.128142405543,15.963768296861
25.0,791.6140972627562,15.9402994271831
26.0,782.7814005775931,15.9213934540754
27.0,773.9351802900121,15.900753171655
28.0,764.7144216793647,15.8828338217805
29.0,754.5755464411227,15.8547146281199
30.0,744.9930961268533,15.8338517972377
31.0,733.1999750259192,15.8160040285479
32.0,721.8051161070445,15.8033428208562
33.0,708.5267647542237,15.7860000656649
34.0,694.8346132643766,15.7633759083924
35.0,680.1529896853341,15.7466879647915
36.0,664.3157681869978,15.7285525922738
37.0,647.6201779862071,15.7072932719949
38.0,629.3476522595138,15.6929695966508
39.0,609.3609610717299,15.6732024828251
40.0,587.725735328737,15.6548834315876
40.1,585.4681008500554,15.6538822233604
40.2,583.1391314985085,15.649987072205
40.3,580.7997280771515,15.6450125456107
40.4,578.481172766909,15.6415294484808
40.5,576.0767792396526,15.6396665086642
40.6,573.6570486516634,15.6389101803872
40.7,571.2663913917706,15.6380319412811
40.8,568.8476112810304,15.6373482434973
40.9,566.383039989253,15.636378355035598
41.0,563.9245903839808,15.6347693089619
41.1,561.4325635091959,15.6339749959584
41.2,558.8270277577805,15.6327065460369
41.3,556.1928834683465,15.6288323521193
41.4,553.5808734714757,15.6250098588948
41.5,551.0239049791569,15.6234424204643
41.6,548.3932570379299,15.6203219946903
41.7,545.6351053273861,15.6174551504217
41.8,542.8812004761957,15.616839602842
41.9,540.152013375796,15.614171016082997
42.0,537.3835080861252,15.6102713885819
42.1,534.5917465915659,15.6060481793024
42.2,531.7568570303066,15.6016198195677
42.3,528.8986346124499,15.5998558748848
42.4,526.0239128927693,15.5998413399898
42.5,523.1175954184495,15.5990713439379
42.6,520.174464218408,15.5968738698926
42.7,517.1755681040869,15.5945250515514
42.8,514.1544419511264,15.5930475054056
42.9,511.474948606706,15.590367407267896
43.0,509.08270992911997,15.5855795890888
43.1,505.990264606089,15.582656950824
43.2,503.24800731147326,15.5830636549106
43.3,501.3341902701713,15.5830019296794
43.4,499.34474365014574,15.5808705868712
43.5,497.2534498884909,15.5767222463007
43.6,495.2579496575993,15.5719323559039
43.7,492.9036838945789,15.5717763318988
43.8,490.05832205461274,15.573683446531
43.9,487.6755829267154,15.5719273910463
44.0,485.52304737439863,15.5684908868592
44.1,483.48485767371966,15.5679870307165
44.2,481.5015675915744,15.5692208216927
44.3,479.14175723356567,15.5703615984127
44.4,476.90843661302836,15.5689632057633
44.5,475.4453999882277,15.5633868765691
44.6,474.7358078454122,15.5578560051768
44.7,473.2885504164434,15.555192448228
44.8,470.7964851358017,15.5532865502691
44.9,469.21508234177463,15.5511801982722
45.0,468.28621896064016,15.5491950914146
45.1,467.1059523484463,15.5485273627152
45.2,465.42424261529413,15.5481254992284
45.3,463.8458652296857,15.5473111422611
45.4,463.0351049824496,15.5456708102113
45.5,462.3441531355525,15.5425369169314
45.6,462.0368735170878,15.5410302239861
45.7,461.0525303258946,15.5413943256048
45.8,459.196325865385,15.5404810089267
45.9,458.3032489883451,15.5383358319308
46.0,457.99484129335417,15.5365550003151
46.1,457.1816183045889,15.5355268984427
46.2,455.5599264873764,15.5343777239619
46.3,454.0784760485929,15.5325973699167
46.4,453.6961129623108,15.5314149361175
46.5,452.71002372028147,15.5296755274011
46.6,450.9219620199123,15.5271795254351
46.7,449.7569653498107,15.5243385175336
46.8,449.3240637332783,15.5233488094462
46.9,449.5145430693886,15.5231080750661
47.0,449.1084631149643,15.5218285030244
47.1,447.843427562755,15.5205370796741
47.2,447.35983252517417,15.5193420819335
47.3,447.6258561187403,15.5185173799939
47.4,447.1759222943578,15.5177152854235
47.5,446.27055214568145,15.5168951126329
47.6,445.8424623240376,15.5155567824514
47.7,445.64284126420864,15.5125575182919
47.8,445.7947443666774,15.5107512392034
47.9,445.12351084707143,15.5095253338421
48.0,443.1746040139052,15.5075290554554
48.1,442.0337486467048,15.5064939304784
48.2,442.3295385715287,15.5049999795996
48.3,442.8082109307606,15.5013792700243
48.4,442.53636558858534,15.4984726574087
48.5,442.37529136517736,15.4973046510936
48.6,442.25729083571827,15.4956422388857
48.7,441.72059153800177,15.4923738461128
48.8,441.36383062493564,15.4881581704825
48.9,440.8166489697926,15.48514159529
49.0,440.09679039334384,15.4848780489554
49.1,439.9752476309248,15.4847191055194
49.2,439.9153308381604,15.4811374084219
49.3,439.65018933580313,15.4761944867154
49.4,439.37044232459914,15.4732345815255
49.5,439.17245150881786,15.4718650370171
49.6,439.0454268223956,15.4718459477033
49.7,438.91565240597276,15.4693823545052
49.8,438.65061501703013,15.4664343968099
49.9,438.34777056321343,15.4663001637477
50.0,438.2383254469973,15.4645537182958
51.0,441.17448955033734,15.4488362778224
52.0,440.69190723394456,15.4264124582571
53.0,441.0553687058644,15.4090916204673
54.0,441.49759129012944,15.3899806861342
55.0,441.7758630957955,15.3783961003466
56.0,442.0912463702453,15.3583985439807
57.0,442.6131248597547,15.3439677198073
58.0,443.16632393681306,15.3317974320139
59.0,443.622822814448,15.3121776423439
60.0,443.9121662808726,15.2960730149841
61.0,444.0006103958537,15.280015326354
62.0,444.0252360911441,15.2622300703512
63.0,444.128554666539,15.2454953367836
64.0,444.2874084936023,15.2324492035209
65.0,444.3370178192469,15.2097166854898
66.0,444.6223775935222,15.1969517570527
67.0,444.86751495956236,15.1834569741068
68.0,444.97490656565407,15.1658576640267
69.0,445.0283149414125,15.1506805120772
70.0,445.06919085600526,15.1319744430494
71.0,445.1300393629257,15.1234224093644
72.0,445.1577623820544,15.1040330608136
73.0,445.3480354014415,15.0874029593313
74.0,445.43273169108784,15.0698494522884
75.0,445.59064333482775,15.0580958705664
76.0,445.7607649284659,15.0419192090471
77.0,445.90029628331513,15.0333781235888
78.0,445.9675046217318,15.0154766275398
79.0,446.0459635737491,14.9960782738825
80.0,446.0631570593862,14.9834547888529
81.0,446.070034480704,14.965954821897
82.0,446.1883896942221,14.9484998366139
83.0,446.3396141340039,14.939459439603
84.0,446.4870311043029,14.9320154292686
85.0,446.562967294158,14.9192946989129
86.0,446.5124206617255,14.906653618554
87.0,446.5218658784844,14.8956250606829
88.0,446.446213629327,14.8751539841886
89.0,446.39558865775666,14.8581126486392
90.0,446.4055167051396,14.8374304969412
