Time(msec), Temperature(K), Pressure(bar)
0.0,830.99,17.6728405913916
1.0,830.9612807304468,17.6569430692029
2.0,830.9599467128469,17.656833733748
3.0,830.5979362690981,17.6474672554082
4.0,830.5728570893859,17.645412065988
5.0,830.7611721536098,17.6405478681902
6.0,830.5783677135585,17.6377297841596
7.0,830.6266825521642,17.6295352680747
8.0,830.4749101637756,17.6171135944756
9.0,829.5322283280739,17.5966007938636
10.0,829.5151546554738,17.5763515335501
11.0,829.766469762141,17.5605791053301
12.0,829.0945722969653,17.5420031266104
13.0,828.7686159580782,17.5221419730404
14.0,827.8625258148637,17.4977814838017
15.0,826.5678377908104,17.4776918936637
16.0,824.763100705375,17.4608044635814
17.0,821.9006807951167,17.4413754042819
18.0,818.9094105957925,17.4240614968994
19.0,814.1074003178073,17.4120190287258
20.0,808.8641274684431,17.3850385447931
21.0,805.7148416852591,17.3624945883993
22.0,798.7456664042793,17.3368958064072
23.0,794.2233119055388,17.3158807432424
24.0,788.9742939003723,17.2981074143754
25.0,780.8289960022771,17.2899599068153
26.0,773.2940117404005,17.2692659488595
27.0,765.3539272407157,17.2511084659029
28.0,756.4667336962332,17.2301921080602
29.0,745.8122091329474,17.2095305764094
30.0,736.3297936178733,17.1817701968599
31.0,725.3570410721011,17.1623796593108
32.0,712.7467287236174,17.1386931453211
33.0,700.4970092136201,17.1187332684422
34.0,686.8348142039106,17.1023257948612
35.0,672.3109766706598,17.093068636918
36.0,656.5335812770888,17.0772389386997
37.0,639.9021621178489,17.0502526149498
38.0,621.6027597921315,17.0278194888346
39.0,601.8964658707789,17.010893884936
40.0,580.3431715605086,16.9928098915278
40.1,578.1183194517025,16.9937484107752
40.2,575.8575081732589,16.9931682234368
40.3,573.5112096092087,16.9892407893183
40.4,571.1203545647644,16.9840922448199
40.5,568.7374970587767,16.980388262829997
40.6,566.3071548546178,16.9756690214068
40.7,563.9512021435244,16.9723423641595
40.8,561.6584830126116,16.9714098295108
40.9,559.2202882094481,16.9693947023683
41.0,556.7301231431535,16.9692890141545
41.1,554.2442118473332,16.9704048300138
41.2,551.706064936204,16.9691238174142
41.3,549.145558348475,16.9673931685316
41.4,546.602131583066,16.9681650398162
41.5,544.0583349460146,16.9687652595696
41.6,541.4401773480636,16.9666851206181
41.7,538.726629687359,16.963517569577096
41.8,535.9642637986609,16.9601075518642
41.9,533.2098196653058,16.9568282711037
42.0,530.5357238096085,16.9552163145998
42.1,527.8202134801728,16.9554216735674
42.2,524.9847548357214,16.9531566751197
42.3,522.0772276429241,16.9474553888192
42.4,519.1942131508426,16.9438775930529
42.5,516.3095513052305,16.9440626604797
42.6,513.3304532034372,16.9435763108623
42.7,510.4755204253493,16.940272837588697
42.8,508.07336726578166,16.9349423979755
42.9,505.70013323055133,16.9302410717662
43.0,502.791895769336,16.9295818725675
43.1,500.02098310290046,16.9314025752101
43.2,497.98208606938135,16.9305405602624
43.3,495.9373172635665,16.92585992804
43.4,493.9249680679006,16.9211763522004
43.5,491.48977475872005,16.9187203449258
43.6,488.53845718707896,16.9177761088462
43.7,486.1076876213098,16.9170161986409
43.8,484.2377926793615,16.9161671118116
43.9,482.7783846488137,16.9148351316176
44.0,481.25339616664854,16.9117540391094
44.1,479.14210615674955,16.9090027981543
44.2,476.8739145563335,16.9067761843884
44.3,475.1634359369458,16.9058260735892
44.4,473.5762148048437,16.904970086721
44.5,471.9890144162674,16.903831388722
44.6,470.722579703667,16.9041382695505
44.7,468.77860697849576,16.9034543457968
44.8,466.9442502753598,16.9022873169199
44.9,465.7891322647164,16.9016694360916
45.0,464.08357019753515,16.8984789675997
45.1,462.48364635423843,16.8957165848714
45.2,462.1951154339371,16.8937270853956
45.3,461.34531165381736,16.8923716725395
45.4,459.0760066557527,16.8919819952927
45.5,457.69623273801653,16.889431651243097
45.6,457.67645052434455,16.8848261794457
45.7,456.8971023142683,16.8812749902218
45.8,455.3533535187654,16.8819118693429
45.9,454.47188646086107,16.8846000185434
46.0,453.68101065083823,16.8848712333716
46.1,452.0375770115903,16.8823869714042
46.2,450.9941006055729,16.8788273941904
46.3,450.7718345906835,16.8749415053408
46.4,450.1851505287427,16.8712364037834
46.5,449.2508471747276,16.8694587443667
46.6,448.4912006847013,16.8697427957687
46.7,447.793519989678,16.8702932267501
46.8,446.8943834315008,16.8692201308131
46.9,446.27719622388963,16.8670345732263
47.0,445.89229713308606,16.8647246235213
47.1,445.1825661613417,16.8624616117368
47.2,444.7014278179437,16.8607348303539
47.3,444.0809914372018,16.8588414246291
47.4,443.4017003836882,16.857222090948
47.5,443.04022955642944,16.8570095968692
47.6,442.7085357941693,16.8560162749655
47.7,442.28718781711046,16.853711070557296
47.8,441.73639190669934,16.8524085430284
47.9,441.2556793130947,16.8508275550066
48.0,440.86271722513266,16.848422158904295
48.1,440.3104855925894,16.845818008663
48.2,439.7132707887812,16.8425120160326
48.3,439.47713414187933,16.8389395749512
48.4,439.9566247457246,16.8378662139685
48.5,440.17950928514796,16.8384374449041
48.6,439.5323702284908,16.8373251109077
48.7,438.73162411679294,16.833148151461497
48.8,438.0657252770947,16.830933736594
48.9,437.42798129899336,16.8324836088597
49.0,437.25480340244195,16.8333516762471
49.1,437.17319759697165,16.8320532975563
49.2,436.6923544826448,16.827666932842
49.3,436.5519781644129,16.8226302709414
49.4,436.63255686870383,16.8205885734508
49.5,436.7121091363431,16.818401087498998
49.6,436.65223018411444,16.8151524438819
49.7,436.44669146859553,16.812636680089497
49.8,436.25543799253927,16.810680500939
49.9,435.95552706506436,16.8089038811617
50.0,435.8117873315012,16.807257255920597
51.0,438.2309521751218,16.788998938004497
52.0,438.3380290499158,16.7705269644003
53.0,438.7532271484374,16.7483407670024
54.0,439.01816224876717,16.7336504633425
55.0,439.35059004868657,16.7182167227223
56.0,439.8105677527889,16.7039093113554
57.0,440.19790752030184,16.6855321183718
58.0,440.3984554198478,16.6628851957677
59.0,440.7080941051962,16.6491357659297
60.0,440.79286757316527,16.6265084002559
61.0,441.00320825814146,16.6086659002031
62.0,441.4974265922839,16.6323582731492
63.0,441.51556093314736,16.5797514002993
64.0,441.7116459005857,16.56293937802
65.0,441.7659590811294,16.5454886165518
66.0,441.80406090154725,16.5268043189558
67.0,441.870542890604,16.5082393853279
68.0,441.95556451781766,16.4938743826925
69.0,442.0730977148678,16.4800157155577
70.0,442.1979087174451,16.4613723043376
71.0,442.4248674041857,16.4499161149587
72.0,442.62223083218146,16.433881863269
73.0,442.7145924393513,16.4162449831937
74.0,442.80056972732325,16.3992091794444
75.0,442.84597126719103,16.3843148654456
76.0,442.83764790556825,16.3611756712222
77.0,442.8629535289726,16.3434963299866
78.0,443.0935563840683,16.3348627344752
79.0,443.15223355680905,16.3220104228266
80.0,443.22974788372915,16.2993497423143
81.0,443.28031620024325,16.2796992630581
82.0,443.3282936587024,16.2679002613146
83.0,443.39771053139043,16.2481544554586
84.0,443.43365200263753,16.2286207147441
85.0,443.51394574998375,16.2147830629956
86.0,443.46729948376947,16.1999004709165
87.0,443.4441232976239,16.1842940907262
88.0,443.42849149336774,16.1732032791727
89.0,443.3996461936628,16.1552245157775
90.0,443.48766809073055,16.1424125073374
91.0,443.70727357784455,16.1320303430826
92.0,443.75627385460456,16.1106350474956
93.0,443.81767224319424,16.0958310997839
94.0,443.8332861458328,16.075265698614
95.0,443.7954246587814,16.062607784844
96.0,443.7617518730177,16.04855774616
97.0,443.77134076828236,16.0343984839531
98.0,443.76199921100726,16.0176270192079
99.0,443.7477235969774,15.9990111309354
100.0,443.8533511695927,15.9814942838655
101.0,443.90404136654337,15.9646863957197
102.0,443.8771552690692,15.9544650982681
103.0,443.8593829502752,15.9386404013605
104.0,443.8239044031229,15.9266635799364
105.0,443.79531700645737,15.9109498151066
106.0,443.8069364366898,15.8922111854139
107.0,443.9021166197391,15.8805573309416
108.0,443.9313109916361,15.8686026254016
109.0,443.91382175956943,15.8486833188336
110.0,443.89164783405903,15.8384433660937
111.0,443.9375438111173,15.8220637265761
112.0,443.8910606312298,15.7992274462811
113.0,443.86961314329847,15.7843074314527
114.0,443.90373265376644,15.7752890006712
115.0,444.35966736452946,15.7625086181604
116.0,444.400080474585,15.7450246899722
117.0,443.9069631956396,15.7372533988624
118.0,443.9177816695493,15.7212775070592
119.0,443.8507405715171,15.6994902168666
120.0,444.01063147895144,15.6977896182202
121.0,443.95488044572346,15.6743553825228
122.0,443.9516784867513,15.6624914483907
123.0,443.9046712532418,15.6429769241581
124.0,443.8374516156396,15.6311842567879
125.0,443.8405827619657,15.6173838644157
126.0,443.80370221963574,15.6013967237278
127.0,443.849541764188,15.5907804945784
128.0,443.85597825556476,15.5771141335961
129.0,443.8743153910838,15.5648909594603
130.0,443.907844612702,15.5536120746153
131.0,443.895353814483,15.5427129254784
132.0,443.8396531924352,15.5269324718677
133.0,443.7967873948078,15.5125259991991
134.0,443.85258999868535,15.4994540081101
135.0,443.7779310117985,15.4834214312179
136.0,443.8076393676421,15.4696887850947
137.0,443.8499735798383,15.4617753611485
138.0,443.82021301846055,15.4453108506589
139.0,443.76987535521556,15.4305671188557
140.0,443.78100410543493,15.4174015979431
141.0,443.7347122762493,15.4015680636541
142.0,444.21015300865463,15.3960671241045
143.0,443.9601741490322,15.3831269280726
144.0,443.74392372310143,15.3741523845466
145.0,443.6441235618746,15.3575016632794
146.0,443.6960058905401,15.3445389553162
147.0,443.6553811925353,15.3284605066993
148.0,443.643567919938,15.317707814264
149.0,443.64801018803036,15.2985058338505
150.0,443.5747688934326,15.2849253506599
151.0,443.59520512485375,15.276491688316
152.0,443.5768237337562,15.2616392939099
153.0,443.5915334601007,15.2539292169027
154.0,443.5770594162754,15.2387201952697
155.0,443.5448837730578,15.2273675456952
156.0,443.56743228484436,15.2121980043971
157.0,443.5297484668427,15.2003267438494
158.0,443.56372578855934,15.1908759369201
159.0,443.5340299140154,15.1768299979516
160.0,443.5246710589061,15.163859911045
161.0,443.6682680527812,15.148730872854
162.0,443.4207187634922,15.1379073971671
163.0,443.4177370013865,15.1279803020098
164.0,443.37130142902754,15.1148641866704
165.0,443.36135837332716,15.1002792227863
166.0,443.3495568904506,15.0843991057923
167.0,443.28178601831803,15.069249017135
168.0,443.26246167005775,15.0592127468336
169.0,443.2161186879575,15.0442212678926
170.0,443.2119062670301,15.035650322946
171.0,443.1474342493467,15.0213429566151
172.0,443.1943987046179,15.0100599405896
173.0,443.19824528857924,15.0009759785767
174.0,443.13525336275353,14.9860179097706
175.0,443.0985606778217,14.9684878900697
176.0,443.1412814501415,14.9602649478242
177.0,443.0265956974401,14.9416313301336
178.0,442.9954780161755,14.9266566424096
179.0,442.97509422770315,14.9139758019186
180.0,442.9610017854134,14.8994923696398
181.0,442.87805309941785,14.8824183841659
182.0,442.92421269718864,14.8726284020019
183.0,442.86722129157926,14.8584255350314
184.0,442.76877477847546,14.8456897007638
185.0,442.7551609900557,14.831882947668
186.0,442.6959377970935,14.8174344527356
187.0,442.7054246286643,14.8129111313019
188.0,442.65042983173316,14.7959000718372
189.0,442.63482899101535,14.785549668918
190.0,442.62234052722397,14.7723156067168
191.0,442.58468010838794,14.7570745407338
192.0,442.6047096458354,14.7482304038692
193.0,442.56659066652946,14.734865813649
194.0,442.4969077964579,14.7186737638933
195.0,442.4384228170101,14.703936118308
196.0,442.40309556938706,14.693041091338
197.0,442.3533260978813,14.6784173067909
198.0,442.33778191320346,14.660813054939
199.0,442.2875229703669,14.6497635618354
200.0,442.3296000611342,14.6385377399783
201.0,442.2689202560098,14.6307935413474
202.0,442.3287817758264,14.6218638364368
203.0,442.26375708277493,14.6041994457877
204.0,442.17724023765317,14.5921616534003
205.0,442.1912025368402,14.5825409754036
206.0,442.1013502504091,14.5655111861452
207.0,442.1094612694781,14.5551751581722
208.0,442.0392773519259,14.5389823469671
209.0,441.97643917465354,14.5274597354203
210.0,441.96595333631154,14.5193688460351
211.0,441.9054322032693,14.5024182225548
212.0,441.97095713624606,14.4968851455465
213.0,441.83204823206086,14.4818437399044
214.0,441.7831642075377,14.4617087116647
215.0,441.8269874834786,14.4564934894128
216.0,441.84411755609574,14.4504337667624
217.0,441.7009478655569,14.4308743271834
218.0,441.7171309576215,14.4257147825364
219.0,441.6818614155472,14.4100713232723
220.0,441.687760033007,14.403632436015
221.0,441.62868495433105,14.3875317708466
222.0,441.64275061637227,14.3769733631249
223.0,441.5725058389873,14.3671572289548
224.0,441.4949733214612,14.3476290893731
225.0,441.52488756881155,14.3422512472777
226.0,441.51076928448106,14.3318627220869
227.0,441.47053634257315,14.3160678081673
228.0,441.3721705975007,14.2991421741809
229.0,440.78037859980327,14.2883433096924
230.0,441.2571854669449,14.2752145265173
231.0,441.04544590109134,14.2634649864438
232.0,441.31396737338287,14.2562899122005
233.0,441.064564744129,14.2465880818339
234.0,441.1795040657956,14.2305181946561
235.0,441.11097612522633,14.218880795158
236.0,441.0651767659392,14.2131873091428
237.0,441.01944266698064,14.19376423844
238.0,441.005533475141,14.1855040120551
239.0,441.0482544424055,14.1787271774506
240.0,440.922898988265,14.1600947693849
241.0,440.89772989851025,14.1504671872309
242.0,440.86865399970316,14.1382524198189
243.0,440.84627366412366,14.1263926107367
244.0,440.80538591987073,14.1132335885449
245.0,440.80124831036926,14.1043012095918
246.0,440.70149929757685,14.0894072931633
247.0,440.6741965345139,14.0760256196762
248.0,440.66439000102565,14.0672342249351
249.0,440.63968428450005,14.0601625766059
250.0,440.5863129312192,14.0460278352007
