Time(msec), Temperature(K), Pressure(bar)
0.0,796.04,37.8416426164602
1.0,796.1944556067068,37.8348364928261
2.0,796.2119023076419,37.8380343962812
3.0,796.1656930966637,37.8295648884824
4.0,795.5405578894193,37.8290683203004
5.0,796.0862028017261,37.8149987050565
6.0,795.6457716146679,37.8103320718687
7.0,795.3918990691441,37.7959813545898
8.0,795.3822921404102,37.782569099298
9.0,795.3418701535487,37.7692515689714
10.0,795.6495832547499,37.7497180748947
11.0,795.6462405624558,37.7344530304791
12.0,795.5298031192278,37.7131576387616
13.0,795.4290848068521,37.6947443206198
14.0,790.4847527480858,37.6742640297989
15.0,789.9314138458883,37.65624649568
16.0,783.9956367063726,37.6378887407053
17.0,780.1841054228419,37.6077817008319
18.0,777.1619633868332,37.5820296382985
19.0,772.4555062116373,37.5547304107414
20.0,767.143603038979,37.5309432291212
21.0,762.5150999736198,37.5085522710185
22.0,756.1630033289222,37.4863099745249
23.0,749.9035662521137,37.4690014475353
24.0,742.5842427934037,37.4388581132017
25.0,735.6040392205259,37.419653148227
26.0,726.8962878125355,37.3919072199964
27.0,718.5661938875168,37.3621454579581
28.0,708.6520234545502,37.3399437958815
29.0,698.4879195130101,37.3102560731203
30.0,687.5052449934487,37.2791414185147
31.0,676.1823606062524,37.2541428057496
32.0,663.5334612876868,37.2299841820937
33.0,650.0987380943773,37.1972300648598
34.0,636.2038440417358,37.165820036008
35.0,620.9410370864989,37.1362538799657
36.0,604.6739449505538,37.110676679124
37.0,587.1232969940577,37.083304995779
38.0,568.3133385552701,37.0558918585702
39.0,547.7487089913704,37.0286756469583
40.0,525.3605316389998,36.99520049844
40.1,522.9725733324283,36.9894082661569
40.2,520.5743787862009,36.985675819289
40.3,518.1921754217085,36.9831333654912
40.4,515.7749990499626,36.9800951042576
40.5,513.2988890006616,36.9764491762666
40.6,510.80814724066965,36.9724194352492
40.7,508.341285121714,36.9726790494712
40.8,505.8514881713329,36.9731194446724
40.9,503.3020175480959,36.9692331304891
41.0,500.6716029264626,36.963965263553
41.1,497.9920204263689,36.9594394886131
41.2,495.56364654653294,36.9564745182487
41.3,493.5743993497089,36.9547999738777
41.4,491.4657315883239,36.953157606906
41.5,489.0873083717138,36.9517789869981
41.6,487.02232858524604,36.9493042033252
41.7,485.0159877910036,36.9461455278173
41.8,482.65972924148997,36.9417878581254
41.9,480.26488778786256,36.9380820594628
42.0,478.1917569457695,36.933884399471
42.1,476.5352315369683,36.9295232663621
42.2,474.93664494911354,36.9257652715002
42.3,473.0342654747082,36.9231152368027
42.4,471.23029847857157,36.9206639841737
42.5,469.7184536317799,36.917171006046
42.6,468.0613015121018,36.9136580054429
42.7,466.3266068494871,36.9111051439427
42.8,464.9105325648704,36.9107492465009
42.9,463.5585541709766,36.9100127478171
43.0,462.13343602438965,36.9056387298117
43.1,460.81719261056645,36.9021663793365
43.2,459.41149908848854,36.9007384373961
43.3,458.0322717427006,36.8975207241845
43.4,456.63450501644945,36.8929854804015
43.5,455.2706413461873,36.89088380496
43.6,454.28743732576646,36.8897620110976
43.7,453.7498405482916,36.8876278025864
43.8,452.9561221137626,36.8843576318478
43.9,451.651390212893,36.8808811226915
44.0,450.3720984331428,36.877134443612
44.1,449.25755735727495,36.8727066180678
44.2,448.0226981109136,36.8688340539738
44.3,446.94867840194075,36.868168343012
44.4,446.2095172166019,36.8673126755392
44.5,445.562730197695,36.8647311235881
44.6,444.8845734553573,36.8603357679911
44.7,444.2621947393783,36.8544272424917
44.8,443.6503180711476,36.8514480157316
44.9,442.94143178455465,36.850251299784
45.0,442.2518513279793,36.847667027818
45.1,441.65551005888454,36.8448421291194
45.2,441.02684988476904,36.841774691407
45.3,440.4250838355195,36.8376863796596
45.4,439.9493755211734,36.834729319517
45.5,439.51899803306674,36.8341134564148
45.6,438.9583071649503,36.8313782617865
45.7,438.30798431586373,36.8253991559613
45.8,437.7296447931216,36.8220688089085
45.9,437.21918319573854,36.8203877298938
46.0,436.78005744343176,36.8166061417422
46.1,436.33468047175205,36.8119886211503
46.2,435.87058348946965,36.8096389711449
46.3,435.44121239652384,36.808363631702
46.4,435.2901512088002,36.8050857490045
46.5,435.28460278907954,36.8004015315447
46.6,434.99733080256556,36.7963631555115
46.7,434.6225844517824,36.7922365482236
46.8,434.3426786513875,36.7889118579625
46.9,434.04120920768236,36.7887721906215
47.0,433.78181255851393,36.7889808110555
47.1,433.5451300700877,36.785094745721
47.2,433.30937341199643,36.7786696892524
47.3,433.1029778022572,36.7751244658834
47.4,432.92838725357916,36.7737887118261
47.5,432.6914491377395,36.7720069993861
47.6,432.491651514949,36.7693208575531
47.7,432.35975096641755,36.7650575658344
47.8,432.2229787424293,36.7597020070665
47.9,432.08258482018346,36.7551291723886
48.0,431.89334852687,36.7516510258933
48.1,431.66481251248024,36.7480352357853
48.2,431.4094091035748,36.7449694533855
48.3,431.2193481357567,36.7448095112209
48.4,431.05907929110896,36.7441772336203
48.5,430.9017345600128,36.7406074585305
48.6,430.83220630710804,36.7359377196149
48.7,430.8040805120899,36.7320982044104
48.8,430.71019532277154,36.7307392823134
48.9,430.5696661348998,36.728819592224
49.0,430.4167003951274,36.7252963867368
49.1,430.2846353077707,36.7232530869902
49.2,430.1642481159856,36.7211265837282
49.3,430.0707766367201,36.718989510431
49.4,429.99877277484063,36.7160261948587
49.5,429.92045309126974,36.7119761609053
49.6,429.8023737929789,36.7081862737109
49.7,429.69394112889756,36.7036303894922
49.8,429.59947448942694,36.6997270025625
49.9,429.5185284845956,36.6973161715958
50.0,429.4675656957112,36.6948855084697
51.0,430.9266845216965,36.6643829982553
52.0,431.1260062060694,36.6304474834007
53.0,430.8626469292793,36.600818577276
54.0,431.27169262277545,36.5660224236304
55.0,431.4994586458409,36.5379568996607
56.0,431.82406030630284,36.5136204030488
