Time(msec), Temperature(K), Pressure(bar)
0.0,810.36,17.7671368207762
1.0,809.5592006912282,17.6776404458962
2.0,809.1475123429276,17.6484435420217
3.0,809.3501198799692,17.6614012357216
4.0,808.775882204016,17.6349084240002
5.0,809.1481257183347,17.6430427326983
6.0,809.0771859209157,17.6370772343814
7.0,808.4618950150467,17.6017111677952
8.0,808.7590613485125,17.6103437451299
9.0,808.7169953720852,17.6068109935288
10.0,808.3948360270955,17.5974405476621
11.0,807.9917114836858,17.5812812113206
12.0,807.7235479448032,17.5764580264146
13.0,807.3118108116287,17.5677189208273
14.0,806.7224709531587,17.5589549635142
15.0,805.3560886790287,17.5470447768426
16.0,803.2873010037483,17.5362898984219
17.0,799.9872563990432,17.5290640889965
18.0,796.3582117242323,17.5191543914503
19.0,792.2182455463188,17.5100280902543
20.0,789.1124552740584,17.4946830240585
21.0,784.5879607785425,17.4880246475221
22.0,780.8220746369011,17.4758388814645
23.0,774.9476677145368,17.465056632251
24.0,768.4344451234787,17.4500146366085
25.0,762.6941423289903,17.4421909182086
26.0,754.8771260048309,17.430476842941
27.0,746.7285384848333,17.4086730125742
28.0,738.5413608656424,17.3997479023433
29.0,729.1371909100561,17.3875640396206
30.0,718.721278919651,17.3691270790103
31.0,708.3921079654167,17.3583322053064
32.0,696.8530795916612,17.3505511922266
33.0,685.1496842960538,17.3362295562759
34.0,672.3651378179384,17.3293253683869
35.0,658.5960264616322,17.3152588179824
36.0,643.5338192905122,17.3028067494926
37.0,627.7322284381227,17.2845914107191
38.0,610.4271239934787,17.271733316014
39.0,591.939528840614,17.255181890491
40.0,571.461281798873,17.2386576360241
40.1,569.3598883979857,17.2362987719283
40.2,567.1913394028837,17.2348329432131
40.3,565.0128407666402,17.2340961301315
40.4,562.8604748224822,17.2343773437902
40.5,560.6410221560369,17.2333651434891
40.6,558.4534835766441,17.2323133675641
40.7,556.2416728991795,17.2317120738215
40.8,553.9227422788334,17.2312339642429
40.9,551.6045312973278,17.2307213413155
41.0,549.3374097955337,17.2304414783487
41.1,547.0220886013572,17.2290159123385
41.2,544.6776406924697,17.228384453037
41.3,542.2961693006897,17.2292552491604
41.4,539.8564606597398,17.2285674710759
41.5,537.4108383645774,17.2258462450886
41.6,534.9739707375295,17.2225926463074
41.7,532.4785064699853,17.2197446944156
41.8,529.957661202472,17.2174146138719
41.9,527.4639050850402,17.2159116937137
42.0,524.9520126947368,17.2148677884316
42.1,522.3351232267207,17.2136345977398
42.2,519.6357918448749,17.2116392789622
42.3,516.9083318433305,17.2101771182314
42.4,514.1684860490494,17.2097146458182
