Time(msec), Temperature(K), Pressure(bar)
0.0,841.92,18.0144346778938
1.0,841.4219433283998,18.0009046903613
2.0,840.8540847225391,17.973324415852
3.0,839.5742623037855,17.8803523495562
4.0,840.4978581968322,17.9206721237639
5.0,840.1643141477838,17.889127404536
6.0,839.0774538685845,17.78096650757148
7.0,839.3815800129005,17.8358536738426
8.0,839.1655776633263,17.8113531598769
9.0,838.6326605843772,17.784067589249
10.0,838.555672240262,17.7614731512212
11.0,838.1373787923476,17.738152462601903
12.0,837.609609722091,17.716786348707803
13.0,837.9904577406032,17.692282930816503
14.0,835.9239789352791,17.657775303508004
15.0,834.2252959762782,17.614923195815905
16.0,833.8237632903878,17.571535605968204
17.0,831.6045944734276,17.546039153471604
18.0,827.843358580008,17.5157418290403
19.0,822.9311028906549,17.4892689322473
20.0,818.6734848628645,17.4749974710534
21.0,814.1672866100009,17.4437228436075
22.0,809.5980233414382,17.4104773130507
23.0,802.9152749519111,17.3833442344001
24.0,797.8427475911525,17.3426174797995
25.0,790.8739674231082,17.3163382565126
26.0,782.5196153640071,17.2949847189268
27.0,773.601577038439,17.2661234333599
28.0,766.2862866247729,17.2521443410087
29.0,755.7928558359408,17.2292512128934
30.0,745.7519481937414,17.2005016053405
31.0,733.7872933948815,17.1644313295215
32.0,722.36283615117,17.1404628898461
33.0,709.5173132491191,17.1130260440909
34.0,695.1579387306605,17.0905933052346
35.0,680.579585707983,17.061619658835202
36.0,665.0337281519485,17.0403778183621
37.0,647.7359018033525,17.0112875608082
38.0,629.6331742633623,16.9861623121558
39.0,609.5004318960583,16.9701468552258
40.0,587.7768216086524,16.9470766649762
40.1,585.4545123529285,16.9444895146269
40.2,583.0896199886985,16.9397005150387
40.3,580.7523053953203,16.9363956448468
40.4,578.376986031562,16.9350928987967
40.5,575.9941910639025,16.9336411271391
40.6,573.5753332353709,16.9309838984815
40.7,571.1760493651233,16.9280373950724
40.8,568.8328405900301,16.926571928382
40.9,566.4315162726009,16.9228333965273
41.0,563.9327210481672,16.9167111044004
41.1,561.4211563354205,16.9131318722518
41.2,558.8661291198848,16.913012170861
41.3,556.2568259075973,16.9123865823195
41.4,553.6363126011462,16.9117424012089
41.5,550.9996733195817,16.9104044805393
41.6,548.376730850527,16.908735429602
41.7,545.7464941962941,16.9073979758537
41.8,543.0566931235877,16.9056165255672
41.9,540.3314972862618,16.9040072483078
42.0,537.5776676542016,16.9017530132879
42.1,534.7475874184792,16.8993331697947
42.2,531.903697218635,16.8975574759378
42.3,529.0160398154546,16.8946346670664
42.4,526.0845852705093,16.8898582869718
42.5,523.1465414830732,16.8867091913836
42.6,520.1880617908201,16.8846391249394
42.7,517.1550332937815,16.8811376717429
42.8,513.9773297971308,16.8787539048494
42.9,510.96759266190816,16.8788454248207
43.0,508.43823110483066,16.8781607893076
43.1,506.06617616462984,16.8756381192199
43.2,503.30216409011194,16.8717338387548
43.3,500.0136980895188,16.8677094950882
43.4,496.9078110727999,16.8658881401207
43.5,494.46305624469625,16.8630153543667
43.6,492.0584291663762,16.8587271451869
43.7,489.58689159404236,16.8564952641809
43.8,487.60656458555707,16.8547467273975
43.9,485.69043713285373,16.8515765313158
44.0,483.7317769171277,16.8462041068549
44.1,481.63242668489653,16.8422935541813
44.2,480.0291745334067,16.8421702686464
44.3,478.69425125965813,16.8449589106101
44.4,477.01916966336927,16.843887147305697
44.5,475.44994908143434,16.8387868586132
44.6,473.99995445502316,16.8350365326907
44.7,471.78801177466227,16.8338363079798
44.8,469.1120489430824,16.8315563948265
44.9,467.4697701125999,16.8287742921273
45.0,466.8207389567153,16.8269288042303
45.1,465.52472235682797,16.8253080387646
45.2,463.655344680157,16.8240536869526
45.3,461.4983261901066,16.8207760374448
45.4,459.29550603767467,16.815555002880895
45.5,458.64102433205323,16.8142908311224
45.6,459.10030699035127,16.81465075851
45.7,458.0718887870029,16.81299693671
45.8,456.0700753457695,16.8133391908336
45.9,454.97463452825724,16.8141007218462
46.0,454.19573161532855,16.8125476633888
46.1,453.76592163509406,16.8090501054878
46.2,453.5259344643407,16.8051606210312
46.3,452.63975053084874,16.8014093543566
46.4,451.13518669563143,16.7990861557012
46.5,449.6149413715562,16.7974609725553
46.6,448.5973728200887,16.7945341061038
46.7,447.9805985637978,16.7911152781128
46.8,447.08274152556726,16.7869708897834
46.9,446.2618785074428,16.7822258404261
47.0,445.4554766485641,16.7788852020823
47.1,444.76243448364414,16.7785910506483
47.2,444.2468016437583,16.7803377178316
47.3,443.6620288023399,16.7809448590379
47.4,443.0960288908917,16.777850644305698
47.5,442.84978302148573,16.7730314516072
47.6,442.63173553962366,16.7702054411962
47.7,442.10645336592523,16.7686207555525
47.8,441.343792148029,16.7673167561924
47.9,440.7808768103369,16.7671369996336
48.0,440.48435889532567,16.766981169266302
48.1,440.3157669135285,16.7664480204684
48.2,439.93545683441937,16.7645631719369
48.3,439.576953608068,16.7602648117494
48.4,439.29900304720763,16.756460316510697
48.5,438.8230809249358,16.7547911369732
48.6,438.42691927675304,16.7528664091486
48.7,438.2785189532157,16.750202890272
48.8,438.0447356705734,16.7480038646993
48.9,437.6418646434386,16.7456995914426
49.0,437.5208542061975,16.744471419038
49.1,437.1700623526903,16.7441956212883
49.2,436.82906809934445,16.7416564049001
49.3,436.6839456998116,16.7375847504054
49.4,436.24997831025917,16.734554974300696
49.5,435.82203875222046,16.7318483091427
49.6,435.67870613244486,16.7294469774374
49.7,435.39247265467367,16.7269807727854
49.8,434.9576680037385,16.7241294796216
49.9,434.62699965178734,16.7226227903631
50.0,434.5089774500354,16.7222560285323
51.0,437.68348508599695,16.6914856498735
52.0,437.77172149739795,16.6729792172115
53.0,437.56827933415406,16.6529931169255
54.0,438.4014011527677,16.6326307845685
55.0,438.89829723795276,16.6115460992301
56.0,439.15846644936744,16.5884669575797
57.0,439.5226115124862,16.5744465087249
58.0,439.8456786679802,16.549275696606
59.0,440.0707517491091,16.5274163265683
60.0,440.14547504990253,16.5011776911387
61.0,440.4308042799989,16.490188474583
62.0,440.7105156698234,16.4729989773889
63.0,440.8938691545331,16.4517621974678
64.0,441.0990558348201,16.4318928970418
65.0,441.22578988541625,16.4109245249951
66.0,441.3321736658855,16.3906760981763
67.0,441.313110181293,16.3646236527704
68.0,441.3965657187273,16.3512065864609
69.0,441.4865636088224,16.339175519718
70.0,441.6736130770812,16.3178725317953
71.0,441.79205265498206,16.2982476764465
72.0,441.956249230259,16.2769936983188
73.0,442.1423551739229,16.2591608115727
74.0,442.24274768193936,16.2402987057455
75.0,442.25719051391496,16.2225750995489
76.0,442.22138585492274,16.2004290791957
77.0,442.25300425597203,16.1813545104414
78.0,442.3388943771966,16.1659324632793
79.0,442.50498667851036,16.1436958378067
80.0,442.5015762948569,16.1234856526509
81.0,442.59935999724604,16.1080921248839
82.0,442.63437539409864,16.091556382307
83.0,442.7064191232416,16.0732511423415
84.0,442.692213084867,16.0509111207169
85.0,442.86796380845556,16.0491939292063
86.0,442.86795498398556,16.0251410333724
87.0,442.80763568013055,16.0020532108949
88.0,442.78963500513703,15.9874703544523
89.0,442.744127856478,15.9686854343141
90.0,442.70564615239107,15.9436147920531
91.0,442.8387760457827,15.9300294681636
92.0,442.96279015374506,15.918763738493
93.0,443.05286092373456,15.9030345371453
94.0,443.07159514678295,15.8892054497634
95.0,443.04848291602985,15.8698134989719
96.0,443.0599964159396,15.8513444857642
97.0,443.02784263999735,15.8402976829687
98.0,443.02122275595315,15.8155130059788
99.0,443.10554646694686,15.7994322610687
100.0,443.0700603870058,15.7783283003318
101.0,443.1675962058684,15.766849585081
102.0,443.1919764957119,15.750182387664
103.0,443.1539187035791,15.7363232814574
104.0,443.04492828963265,15.7154568941255
105.0,443.0659518513119,15.7053072475766
