Time (msec),Temperature (K),Pressure (bar),Volume (cm3)
0.0,393.0,1.0495085433,1.0
0.9846938888888894,393.0,1.0495085433,1.0
1.9693877777777788,393.0,1.0495085433,1.0
2.954081666666668,393.0,1.0495085433,1.0
3.9387755555555577,393.0,1.0495085433,1.0
4.923469444444447,393.0,1.0495085433,1.0
5.908163333333336,393.0,1.0495085433,1.0
6.892857222222226,393.0,1.0495085433,1.0
7.877551111111115,393.0,1.0495085433,1.0
8.862245000000005,393.0,1.0495085433,1.0
9.846938888888895,393.0,1.0495085433,1.0
10.831632777777784,393.0,1.0495085433,1.0
11.816326666666672,393.0,1.0495085433,1.0
12.801020555555562,393.0,1.0495085433,1.0
13.785714444444451,393.0,1.0495085433,1.0
14.770408333333341,393.0,1.0495085433,1.0
15.75510222222223,393.0,1.0495085433,1.0
16.73979611111112,393.0,1.0495085433,1.0
17.72449000000001,393.0,1.0495085433,1.0
18.53839252000001,389.81978713831967,1.0162959943297238,1.0243234
19.030366900000008,393.6375421699622,1.0562678586005239,0.99521262
19.736122800000008,394.40755377240873,1.0644770798175451,0.98946933
20.31891340000001,392.401764971514,1.043196851294747,1.0045189
21.31891340000001,392.55455763394536,1.044806057839224,1.0033622788458294
22.318913400000007,392.70757466285636,1.0464195765290956,1.002205657691659
23.31891340000001,392.8608166389136,1.048037423860287,1.0010490365374882
24.31891340000001,393.0142841449478,1.0496596164108278,0.9998924153833176
25.31891340000001,393.1679777659621,1.0512861708413532,0.998735794229147
26.31891340000001,393.32189808914103,1.0529171038956038,0.9975791730749765
27.31891340000001,393.47604570386574,1.05455243240095,0.9964225519208059
28.31891340000001,393.63042120172236,1.0561921732689015,0.9952659307666353
29.31891340000001,393.7850251765102,1.0578363434956173,0.9941093096124647
30.31891340000001,393.9398582242587,1.059484960162445,0.992952688458294
31.31891340000001,394.09492094323167,1.0611380404364283,0.9917960673041234
32.18643800000001,394.2296281792751,1.062575757394211,0.99079267
32.48031000000001,390.4802732169838,1.0231250604760371,1.0192103
32.738822000000006,389.60020586726847,1.0140335744329303,1.0260305
33.738822000000006,393.74967137359977,1.0574601931262113,0.9943736430326476
33.941883000000004,394.6128280059745,1.0666739689011653,0.98794537
34.28098700000001,392.08931387577974,1.0399121802954705,1.0068894
35.28098700000001,391.08996951067314,1.029460845041662,1.0145192038899606
36.28098700000002,390.1001498960707,1.0191904219357741,1.0221490077799216
37.28098700000002,389.1196963937401,1.0090964783590715,1.0297788116698823
37.45716300000001,388.9479227159599,1.0073361275475998,1.031123
38.45716300000001,392.87931990755095,1.048232910834002,1.0009094883797451
38.894696,394.647254206754,1.0670427551764032,0.98769008
39.43334800000001,394.6637692983891,1.0672197074639664,0.98756764
39.96188400000001,390.8045535008088,1.0264910784051735,1.0167118
40.61387700000001,395.1261592543204,1.0721833129424885,0.98414744
41.61387700000001,394.6103698953209,1.0666476504783033,0.9879635922936717
42.61387700000001,394.0971091372143,1.061161396669738,0.9917797445873434
43.61387700000001,393.58635523457787,1.0557239250335675,0.9955958968810152
44.61387700000001,393.07808670978045,1.0503346193707745,0.999412049174687
45.61387700000001,392.5722823486947,1.0449928735595353,1.0032282014683587
46.61387700000001,392.0689211964827,1.0396980913531098,1.0070443537620304
46.817838000000016,391.96655325937985,1.0386238754158255,1.0078227
47.817838000000016,393.66143717809956,1.0565218728535264,0.9950337439619014
48.817838000000016,395.3842722738225,1.0749619318779717,0.9822447879238027
48.994086,395.69087708553934,1.0782699058789498,0.97999076
