Time(msec),Integral_1st,Integral_CF,Integral_HI,Integral_Total
0.0,0.0,0.0,0.0,0.0
1.0,1.2569030680431802e-08,0.0034216223040649577,0.00043887577468627246,1.441835371135957e-08
2.0,2.5141196331704732e-08,0.006832764511468339,0.0008775006486325654,2.8845608021031414e-08
3.0,3.7531854114867105e-08,0.010240495490314834,0.0013112887559402514,4.30435446587133e-08
4.0,4.966932155375221e-08,0.013645276719378999,0.0017383584496371662,5.692173680975099e-08
5.0,6.149534545921108e-08,0.01704360629269623,0.002157030971931071,7.040938541468703e-08
6.0,7.31048166424821e-08,0.020432714884322876,0.002569693407509236,8.362837309435812e-08
7.0,8.453144851496119e-08,0.023817570289176276,0.002977369556321338,9.661964600070186e-08
8.0,9.580929623226518e-08,0.02720034244801913,0.003381015391077865,1.094254960040714e-07
9.0,1.0689097507777187e-07,0.030577108947223475,0.0037792334438436883,1.219886969497649e-07
10.0,1.1757073109871504e-07,0.03396259132224774,0.004166857698678295,1.3404930673332765e-07
11.0,1.2823534715842126e-07,0.03732945873348113,0.004553548791037266,1.4609766090159082e-07
12.0,1.3864696519968944e-07,0.040690253584603,0.004933196568645871,1.5783515295944513e-07
13.0,1.486171140737134e-07,0.04406555409757776,0.005301131448791451,1.6902505839580089e-07
14.0,1.5821477717211646e-07,0.047452789801734334,0.00565904276329868,1.7975664073684828e-07
15.0,1.6735413620043944e-07,0.05086038783265445,0.0060045873764554706,1.8992732185384445e-07
16.0,1.7580543455281782e-07,0.054311736269292865,0.006331464823659087,1.9926275705491642e-07
17.0,1.8362773065162063e-07,0.05781080186847677,0.006640951253818143,2.078440333331395e-07
18.0,1.9044246274809162e-07,0.061418588135311605,0.00692206773937266,2.152346215554143e-07
19.0,1.9573966792879125e-07,0.0652663826302295,0.007158285150079701,2.208782854069239e-07
20.0,2.0025038642193234e-07,0.06927056842928749,0.007369572367434562,2.2564027233189224e-07
21.0,2.0398570912198202e-07,0.07347603541399936,0.007555011051851089,2.295478969859054e-07
22.0,2.0725586374003621e-07,0.07782149693140512,0.007724064209233727,2.329504186497282e-07
23.0,2.096526648294799e-07,0.0825336595818331,0.007860388554710258,2.3541862445284018e-07
24.0,2.1153388353448117e-07,0.08754809429665489,0.007975628203806436,2.3734409274543743e-07
25.0,2.129216970549169e-07,0.09297286906694656,0.0080689604199676,2.3875620095730476e-07
26.0,2.1391303653517052e-07,0.09890179393273141,0.008142921506863913,2.397600630684479e-07
27.0,2.145746332144916e-07,0.10551056557136983,0.008198879369473907,2.404273093962867e-07
28.0,2.1503043452678819e-07,0.11279422297114201,0.008242141496826094,2.408858341407554e-07
29.0,2.153079006387866e-07,0.12110853854973583,0.008272887120456296,2.411643300975457e-07
30.0,2.1546806192183304e-07,0.13068140041447324,0.008293943004268455,2.4132484443546635e-07
31.0,2.1556212912290467e-07,0.14159939745299313,0.008308531962929565,2.414190374993542e-07
32.0,2.1561249476393605e-07,0.15428749584646984,0.008318017119823967,2.4146944081985884e-07
33.0,2.1563586222820906e-07,0.16943869507280337,0.008323603854822616,2.4149281690361054e-07
34.0,2.1564691992872342e-07,0.18735975646544542,0.008326941423416449,2.41503876663857e-07
35.0,2.1565175186510135e-07,0.2087856632336631,0.008328829322974057,2.415087090260275e-07
36.0,2.1565356635633315e-07,0.23501322256080687,0.008329791731601883,2.4151052358384355e-07
37.0,2.1565419618572005e-07,0.26728441039118206,0.008330256582764223,2.41511153422303e-07
38.0,2.1565438263368514e-07,0.30771743334041746,0.00833045787217382,2.415113398711963e-07
39.0,2.1565442721255738e-07,0.3593911111821184,0.008330533084021374,2.415113844501334e-07
40.0,2.1565443575477406e-07,0.4267854834844953,0.008330557238421467,2.4151139299235317e-07
40.1,2.1565443588035903e-07,0.4357219504176967,0.008330557884777889,2.4151139311793814e-07
40.2,2.156544359817554e-07,0.44492934581465515,0.008330558442696099,2.4151139321933454e-07
40.3,2.1565443606307688e-07,0.45441712680623003,0.00833055892200393,2.41511393300656e-07
40.4,2.1565443612816106e-07,0.46419215292005506,0.008330559333165476,2.415113933657402e-07
40.5,2.1565443618026862e-07,0.47426979329649055,0.008330559686052185,2.415113934178478e-07
40.6,2.1565443622182821e-07,0.48466652210226435,0.00833055998816927,2.4151139345940734e-07
40.7,2.1565443625486756e-07,0.4953874111794223,0.008330560246202432,2.4151139349244666e-07
40.8,2.1565443628097332e-07,0.5064484274350477,0.008330560465661684,2.415113935185524e-07
40.9,2.1565443630151046e-07,0.5178673716869826,0.008330560651770746,2.4151139353908953e-07
41.0,2.1565443631766952e-07,0.5296572212163633,0.008330560809635835,2.415113935552486e-07
41.1,2.156544363303024e-07,0.5418368306564385,0.008330560942955393,2.415113935678815e-07
41.2,2.156544363400736e-07,0.5544247109930347,0.008330561054704148,2.415113935776527e-07
41.3,2.1565443634758243e-07,0.5674315760733346,0.00833056114793752,2.4151139358516156e-07
41.4,2.1565443635330864e-07,0.5808764833720952,0.00833056122531009,2.4151139359088777e-07
41.5,2.156544363576668e-07,0.5947762131159815,0.008330561289437715,2.415113935952459e-07
41.6,2.1565443636096934e-07,0.6091527413877352,0.008330561342433119,2.4151139359854844e-07
41.7,2.156544363634531e-07,0.6240331641698811,0.008330561386004593,2.415113936010322e-07
41.8,2.156544363653142e-07,0.6394377960026618,0.00833056142173816,2.415113936028933e-07
41.9,2.1565443636670367e-07,0.6553841254941923,0.008330561450970402,2.415113936042828e-07
42.0,2.1565443636772914e-07,0.6719046986891252,0.008330561474694275,2.415113936053083e-07
42.1,2.1565443636847405e-07,0.6890458360789357,0.008330561493739333,2.415113936060532e-07
42.2,2.156544363690121e-07,0.7068344115024935,0.008330561508969223,2.4151139360659123e-07
42.3,2.1565443636942124e-07,0.7251744580296005,0.008330561521585384,2.415113936070004e-07
42.4,2.1565443636974592e-07,0.7439862380306939,0.008330561532346795,2.415113936073251e-07
42.5,2.1565443636998844e-07,0.7634126501228384,0.008330561541152985,2.415113936075676e-07
42.6,2.1565443637016976e-07,0.7834699573673221,0.008330561548364552,2.415113936077489e-07
42.7,2.15654436370311e-07,0.8040769861704103,0.008330561554438115,2.4151139360789016e-07
42.8,2.1565443637041698e-07,0.8253202944248862,0.00833056155942345,2.4151139360799614e-07
42.9,2.156544363704985e-07,0.8471547766399581,0.008330561563585878,2.4151139360807767e-07
43.0,2.1565443637056042e-07,0.8696276222788534,0.008330561567030976,2.4151139360813955e-07
43.1,2.1565443637060823e-07,0.8927145394712673,0.0083305615699158,2.4151139360818736e-07
43.2,2.1565443637064717e-07,0.9162906765421004,0.008330561572421473,2.415113936082263e-07
43.3,2.156544363706769e-07,0.9405165851316069,0.008330561574502097,2.41511393608256e-07
43.4,2.1565443637069823e-07,0.9655654891975514,0.008330561576159247,2.4151139360827736e-07
43.5,2.1565443637071416e-07,0.991354064561903,0.008330561577515022,2.415113936082933e-07
43.6,2.1565443637072697e-07,1.0176914107163946,0.008330561578681624,2.415113936083061e-07
43.7,2.1565443637073695e-07,1.0446760966872755,0.008330561579663791,2.4151139360831605e-07
43.8,2.156544363707446e-07,1.072361807606525,0.008330561580482693,2.4151139360832373e-07
43.9,2.1565443637075124e-07,1.100414433715667,0.008330561581226102,2.415113936083304e-07
44.0,2.1565443637075696e-07,1.128875459663985,0.008330561581895195,2.415113936083361e-07
44.1,2.1565443637076151e-07,1.1579533101693085,0.00833056158246852,2.4151139360834067e-07
44.2,2.156544363707654e-07,1.1874437871288042,0.00833056158298385,2.415113936083446e-07
44.3,2.1565443637076866e-07,1.217419683429089,0.00833056158343861,2.415113936083478e-07
44.4,2.156544363707714e-07,1.2478821949717565,0.008330561583841684,2.4151139360835057e-07
44.5,2.1565443637077385e-07,1.2786557363561641,0.008330561584216079,2.41511393608353e-07
44.6,2.1565443637077597e-07,1.3098462032278404,0.008330561584555175,2.415113936083551e-07
44.7,2.156544363707776e-07,1.3417512968495162,0.008330561584840664,2.4151139360835677e-07
44.8,2.1565443637077893e-07,1.3742843793368815,0.008330561585086145,2.415113936083581e-07
44.9,2.156544363707801e-07,1.4072152486489689,0.008330561585309799,2.4151139360835925e-07
45.0,2.1565443637078108e-07,1.4406565119306523,0.008330561585509197,2.4151139360836026e-07
45.1,2.1565443637078184e-07,1.4748273926573028,0.008330561585678294,2.4151139360836105e-07
