Time (msec),Temperature (K),Pressure (bar),Volume (cm3)
0.0,841.52,14.959656736522,5.76994
1.0,837.0994145036265,14.671889780285111,5.76613
2.0,835.5167949498984,14.580340915678104,5.76169
3.0,835.818612691279,14.580097358125093,5.76771
4.0,834.9212979932473,14.5273628056716,5.76549
5.0,833.5901045523555,14.440355783717196,5.76486
6.0,832.2722628051503,14.369557450358396,5.75979
7.0,831.8500495807741,14.3053040012355,5.77057
8.0,831.0458131329402,14.2647448475489,5.76676
9.0,829.8020976958679,14.2099819007079,5.75852
10.0,829.8772920425326,14.1748913265421,5.77057
11.0,829.3083385510039,14.151114848404,5.76644
12.0,828.4165074512467,14.114476741990698,5.75979
13.0,828.0760928643933,14.0848223844509,5.762
14.0,827.0123948585372,14.055787467674298,5.74966
15.0,825.8155242236714,14.0252165841126,5.73516
16.0,823.7736398513292,13.994013890822,5.70414
17.0,822.4115071720832,13.9749122535189,5.68298
18.0,818.3062941240038,13.9607636011043,5.60651
19.0,813.5519111163061,13.9430869073008,5.51912
20.0,809.2618383490935,13.9229018224268,5.44221
21.0,803.8259198375222,13.898344045443196,5.3454
22.0,799.6122756431768,13.869607120840598,5.27381
23.0,794.6539175847803,13.8343074620575,5.1907
24.0,788.4329680464825,13.815015699828,5.08069
25.0,781.3444908329764,13.792360987187,4.95729
26.0,774.3049899718966,13.7852238459673,4.8326
27.0,766.2420053872124,13.7773188734749,4.6922
28.0,757.1307521262795,13.760160758365,4.53873
29.0,747.6327487668947,13.7424044770932,4.38213
30.0,738.3905568084571,13.7313325297895,4.23165
31.0,727.1685781096489,13.7159832741635,4.05384
32.0,715.339110117239,13.6919056028698,3.87329
33.0,703.0642385595779,13.6849612929588,3.68779
34.0,689.565683669615,13.666447171339598,3.49258
35.0,675.1453541305644,13.649739864375,3.29091
36.0,660.1212682070739,13.644182347845398,3.0869
37.0,643.7481861419765,13.6413358965242,2.87359
38.0,626.1337047554402,13.6380144277505,2.65508
39.0,606.9912813264818,13.6377545589287,2.42972
40.0,586.0354297656608,13.633808849431,2.19813
40.1,583.8345521946837,13.6331825342788,2.1747
40.2,581.6182709899316,13.6306709650437,2.15149
40.3,579.367971562943,13.6293044426255,2.12795
40.4,577.1896633165424,13.6314082071396,2.10493
40.5,574.9887931762008,13.6308683740172,2.08214
40.6,572.6431563169435,13.627053919957998,2.05839
40.7,570.24274662354,13.624551908882,2.03411
40.8,567.7951953974335,13.6230378554287,2.00943
40.9,565.3021682581867,13.6186324948856,1.9848
41.0,562.8967850214622,13.6158715999518,1.96106
41.1,560.5735105818909,13.6157088629462,1.93804
41.2,558.1679781612074,13.614298447129,1.91452
41.3,555.6694745219288,13.6126092093277,1.89031
41.4,553.1431728607627,13.610431701200998,1.86608
41.5,550.5757798582201,13.6062403349315,1.84186
41.6,548.0193321650121,13.6027083439357,1.81788
41.7,545.4657515174414,13.6006877434407,1.79398
41.8,542.8559311519679,13.5987656206582,1.76975
41.9,540.224255346366,13.5969510104712,1.74552
42.0,537.6173879880823,13.5962240085139,1.72163
42.1,534.9730988629822,13.594995344627,1.69766
42.2,532.2957006898173,13.5933219934026,1.67365
42.3,529.5631399961076,13.5923094363313,1.64931
42.4,526.7706448634691,13.5909822824377,1.6247
42.5,523.9861921890799,13.5907890264873,1.6003
42.6,521.1538001969184,13.590189469943498,1.57576
42.7,518.1597463696976,13.585131810051898,1.55046
42.8,515.3467169296632,13.581669018388,1.52682
42.9,513.0144413768124,13.5822827762242,1.50711
43.0,510.5081553428994,13.5833757679667,1.48608
43.1,507.3930091324205,13.5818388389451,1.46044
43.2,504.9526593818105,13.5795558517967,1.44064
43.3,503.3772703342184,13.5784698355385,1.42792
43.4,501.7368301382146,13.5772358100674,1.41476
43.5,499.2320225837904,13.5761028522215,1.39476
43.6,496.4976912920108,13.5746951504082,1.37315
43.7,494.86248231609767,13.5725154667684,1.36043
43.8,492.8152620635469,13.5699484459498,1.3446
43.9,489.780971843891,13.5673329253782,1.32127
44.0,487.625297119824,13.5662471103215,1.3048
44.1,485.9846569064917,13.5649165183794,1.29239
44.2,484.41815646340046,13.5641045648202,1.28058
44.3,482.6341337416016,13.5662919668844,1.267
44.4,480.61784804210055,13.5684198123242,1.25179
44.5,479.2679402239853,13.5681361332533,1.24179
44.6,477.8519861003654,13.564961846968105,1.23155
44.7,475.8117583317252,13.5611402497567,1.21684
44.8,473.9482316588704,13.5595117167965,1.20338
44.9,472.54675209166055,13.5579922736131,1.19334
45.0,471.7282530110255,13.5566639837241,1.18753
45.1,471.5158882036209,13.5565588625713,1.18601
45.2,471.0365536918709,13.5559160410545,1.18261
45.3,469.9594041693044,13.5538864373023,1.17503
45.4,469.0651742009064,13.5525276582659,1.16874
45.5,467.7273780126052,13.5536559032492,1.15917
45.6,465.0038951296399,13.556216100428998,1.13983
45.7,463.1445065257072,13.5576138848263,1.12677
45.8,462.5062814956853,13.5582554124267,1.1223
45.9,461.50430297454,13.5580456161318,1.11538
46.0,460.3320825797257,13.5567995321673,1.10738
46.1,460.0815844070388,13.5567854975524,1.10566
46.2,459.64437024471016,13.5561321197805,1.1027
46.3,458.9424764357617,13.556228480119,1.09789
46.4,458.6071946997436,13.5582321358137,1.09548
46.5,457.5011422842885,13.5592115117498,1.08789
46.6,456.3683295958599,13.5585568852035,1.08025
46.7,455.84407587694375,13.5576770465599,1.07676
46.8,455.4259085863642,13.558703494927,1.07388
46.9,454.63871203118674,13.5606757316533,1.06847
47.0,453.7559724258232,13.5610777310129,1.06253
47.1,453.1702659166726,13.5608372791633,1.05863
47.2,452.13109562814816,13.558381197649798,1.05185
47.3,451.3825151541091,13.5561414691463,1.04701
47.4,451.30544799982994,13.5566544356893,1.04647
47.5,451.0147165711022,13.557969430715,1.04447
47.6,450.5576930454229,13.5575983730339,1.04147
47.7,450.2661015065998,13.5568130279311,1.03959
47.8,449.8980399216002,13.5558224758793,1.03722
47.9,449.8446431612168,13.554910279595,1.03692
48.0,449.8249956261871,13.5550975229084,1.03678
48.1,449.500051863961,13.5551255702129,1.03464
48.2,449.1622139125645,13.5531721202163,1.03253
48.3,448.574410979373,13.5525320960306,1.02871
48.4,448.0828421289622,13.5534669321316,1.02544
48.5,447.9471243290304,13.5535177749683,1.02455
48.6,447.7743494711546,13.5521115682959,1.0235
48.7,447.2935256911598,13.5507312062796,1.02044
48.8,446.8292244628476,13.5519272415666,1.01735
48.9,446.55311938009135,13.5520157152096,1.01555
49.0,446.306913986829,13.549148199744,1.01411
49.1,445.9908699952916,13.5469718920622,1.01218
49.2,445.7572316000061,13.5459903352537,1.01072
49.3,445.5267776263515,13.5445002097573,1.00931
49.4,445.1258972711354,13.5428185936197,1.00681
49.5,444.8329115764288,13.5411405150377,1.00501
49.6,444.7243938957679,13.539678336832,1.00439
49.7,444.4037518760686,13.5393568215903,1.00234
49.8,444.0865017345224,13.538935285664,1.00032
49.9,444.0320823543041,13.5374696462517,1.00005
50.0,444.0223447376439,13.537238296963,1.0
51.0,445.97478710420256,13.5328126342606,1.01286
52.0,447.0840812005032,13.5189402170205,1.02085
53.0,446.9597292970291,13.5260816144896,1.01964
54.0,447.473543940501,13.5234508151833,1.02314
55.0,448.1967640637959,13.525791252505,1.02774
56.0,448.6043593581397,13.5215863675091,1.03065
57.0,449.23425515158704,13.5233529898001,1.03469
58.0,449.5508898697266,13.516401072797898,1.03717
59.0,449.8610786548664,13.5126445916436,1.03943
60.0,450.16746625826096,13.5146403692985,1.04134
61.0,450.4989237167871,13.5075133556876,1.04394
62.0,450.6555898073228,13.5029357139251,1.04524
63.0,450.9975684594152,13.5046381507083,1.04741
64.0,451.2833497403623,13.4971259215233,1.04974
65.0,451.5625280979388,13.4953328209337,1.0517
66.0,451.828381290642,13.504851196204704,1.05292
67.0,452.0135503140741,13.5133884165474,1.05366
68.0,452.20418753221344,13.5137370707961,1.05491
69.0,452.5107049766439,13.5253842765553,1.05628
70.0,452.791438597091,13.5287219813705,1.05796
71.0,453.1123515673233,13.5258584683569,1.06027
72.0,453.4017795769904,13.5294032351848,1.062
73.0,453.7108386768913,13.5336890503096,1.06382
74.0,453.9905183309375,13.5385714328237,1.06541
75.0,454.2232461045611,13.5466471119031,1.0665
76.0,454.434988334785,13.560206050411402,1.06713
77.0,454.6289030168053,13.5684611676806,1.06795
78.0,454.7842523062956,13.5676553847101,1.06904
79.0,455.0429941099961,13.5760188286727,1.07029
80.0,455.3135529483792,13.5814775828515,1.07179
81.0,455.5401512346064,13.5873684131952,1.07297
82.0,455.85559565607343,13.6014433154026,1.07427
83.0,456.13730801497087,13.6150692217655,1.07537
84.0,456.38056645671816,13.6218878954517,1.07661
85.0,456.6181287650488,13.6318198057182,1.07763
86.0,457.3899329573184,13.644446958744002,1.0821
87.0,457.0699306757464,13.6573926077979,1.07918
88.0,457.2626675613052,13.6695295234699,1.07977
89.0,457.39199797961936,13.681369125923204,1.07995
90.0,457.6122885405886,13.6956729279105,1.0806
91.0,458.0131186780956,13.7070570441459,1.08264
92.0,458.1936456926258,13.7079049477496,1.08381
93.0,458.4947656735385,13.720121958072902,1.08513
94.0,458.6799921760284,13.7249481317729,1.0861
95.0,458.9041841389156,13.7344502726863,1.08706
96.0,459.100791166457,13.747769374456702,1.08761
97.0,459.29482653913,13.7524383579973,1.08865
98.0,459.47579416062246,13.7542441528506,1.08977
99.0,459.6744299469728,13.7655961219629,1.09045
100.0,459.9765821907693,13.7740916501903,1.092
101.0,460.0730935987949,13.769068789664,1.09295
102.0,460.293590352258,13.7771790083844,1.09397
103.0,460.4522757156692,13.7812207228678,1.09481
104.0,460.5848369999687,13.7848004814276,1.0955
105.0,460.6892097009363,13.7883567030576,1.096
106.0,460.76340520007307,13.7947151136637,1.09613
107.0,460.8580999113892,13.7917231965425,1.09695
108.0,461.0124580652962,13.7890116378959,1.09816
109.0,461.0356902652815,13.7854213957098,1.09853
110.0,461.18560316281554,13.786452069261,1.09949
111.0,461.36773140941455,13.7886679854985,1.1006
112.0,461.497031970221,13.7910598370646,1.10134
113.0,461.6076844585791,13.7884358141526,1.10225
114.0,461.7225175453258,13.7815808894579,1.10344
115.0,461.7686168626891,13.7747536897675,1.10416
116.0,461.825758282899,13.7735824736029,1.10462
117.0,461.8750104060589,13.768983272332996,1.10523
118.0,461.83279719826993,13.7627851205522,1.10531
119.0,461.9699352254181,13.7645994411398,1.10614
120.0,462.1008298740128,13.7643594776473,1.10705
121.0,462.0729814355132,13.7562951912152,1.10734
122.0,462.2463229042548,13.7569198980545,1.10849
123.0,462.254740727729,13.7496803630779,1.10898
124.0,462.2950638837348,13.7427625729362,1.10967
125.0,462.2643487016082,13.7360658508645,1.10986
126.0,462.3380820640832,13.7341600348096,1.11048
127.0,462.4182022979239,13.7303212494982,1.11126
128.0,462.4828193445494,13.7273827237644,1.11188
129.0,462.5713076204276,13.721853082132,1.11282
130.0,462.6167063428954,13.716231442077698,1.11347
131.0,462.7266484525599,13.7068677846399,1.11479
132.0,462.6919299454476,13.6979247572097,1.11509
133.0,462.3658970408633,13.693381217479798,1.11312
134.0,462.7338625109129,13.6843209529524,1.1162
135.0,462.7789849786404,13.6826832372755,1.11661
136.0,462.7890587860579,13.6730858699548,1.11726
137.0,462.82544189418246,13.667488005597198,1.11785
138.0,462.7686514054034,13.6600306796853,1.11791
139.0,462.8755422510186,13.661480163747,1.11856
140.0,462.9352074481876,13.6534410675921,1.11946
141.0,462.87384651774846,13.6388955288071,1.11992
142.0,463.0113784776429,13.6361198362775,1.12104
143.0,463.1691772726121,13.625495667735798,1.12278
144.0,463.1747956963444,13.6217108506022,1.12305
145.0,463.1789505526727,13.6162893874925,1.12341
146.0,463.1972348098871,13.6080594963421,1.12404
147.0,463.1966330526602,13.5981913321266,1.12464
148.0,463.2539747778267,13.5979928016993,1.12505
149.0,463.245216398151,13.5872179337696,1.12565
150.0,463.24713460635024,13.5771755234794,1.12628
151.0,463.346823250136,13.5713653055418,1.12733
152.0,463.3415766969484,13.5663859766699,1.1276
153.0,463.3393026285376,13.5531465249887,1.1284
154.0,463.3795693270157,13.5500704255997,1.12887
155.0,463.3981749740983,13.5450413257946,1.12931
156.0,463.4363384130207,13.5373678370018,1.13005
157.0,463.4735091566152,13.5344416249552,1.13049
158.0,463.4694478593762,13.5271991376719,1.13091
159.0,463.4980701505156,13.5205753850459,1.13152
160.0,463.51449321271855,13.5100105331896,1.13229
161.0,463.44466555878034,13.5013570632143,1.13234
162.0,463.4278995732522,13.4927165021392,1.13276
163.0,463.4323582950002,13.4803631439628,1.13356
164.0,463.4417828180952,13.4769263304579,1.13384
165.0,463.4495361517386,13.4689750470958,1.13439
166.0,463.4913965915568,13.460691013023,1.1352
167.0,463.4898867613686,13.4530020215072,1.13567
168.0,463.6725365398113,13.4507524403501,1.13709
169.0,463.69626372675,13.4387268421204,1.13801
170.0,463.44772636049305,13.4296011781651,1.13684
171.0,463.52074948983295,13.425009510901,1.13764
172.0,463.41661780492177,13.413698532779398,1.13762
173.0,463.4657458879095,13.4050246252599,1.13851
174.0,463.5158898827781,13.4014021314582,1.13909
175.0,463.5372206216609,13.3958423890116,1.13959
176.0,463.5178082421206,13.3821047181088,1.14032
177.0,463.47520492622897,13.3719783451043,1.14066
178.0,463.4424274724841,13.3658000251536,1.14082
179.0,463.4896960928132,13.3585691767034,1.14161
180.0,463.4742687483296,13.3529064690759,1.14186
181.0,463.4834392855648,13.3477706947563,1.14225
182.0,463.5598550952977,13.3425399695588,1.14312
183.0,463.5664586156025,13.3349258481135,1.14365
184.0,463.5651132296129,13.3286401251582,1.14404
185.0,463.5628739756472,13.3238320599417,1.14433
186.0,463.6957036428154,13.3134278314319,1.14593
187.0,464.1230418526354,13.3087356207279,1.14925
188.0,463.52929539720895,13.3025302211075,1.14545
189.0,463.4990445646551,13.287278923074998,1.14621
190.0,463.4846248706416,13.2844328290169,1.14629
191.0,463.5659779540277,13.2784141441817,1.14725
192.0,463.5809038957861,13.2686641083764,1.14798
193.0,463.5795164846455,13.2579079490006,1.14866
194.0,463.5879761319142,13.2571272360712,1.14877
195.0,463.5827344547139,13.2486080848151,1.14928
196.0,463.5500758014475,13.236611602094,1.14982
197.0,462.9855123389112,13.2319880276726,1.14612
198.0,463.4964735556726,13.2215491989302,1.15041
199.0,463.5295909770258,13.2127877831345,1.15121
200.0,463.5808069446416,13.2057195434029,1.15203
201.0,463.5128365898792,13.1991808401241,1.15197
202.0,463.5835548669629,13.1938057508673,1.15282
203.0,463.5745176052583,13.1887979411459,1.15308
204.0,463.5654664407326,13.1839457122809,1.15333
205.0,463.53135131356805,13.1700282669098,1.15399
206.0,463.4997832459376,13.1631811463967,1.15421
207.0,463.5056627281336,13.1612081963871,1.15438
208.0,463.5267581945412,13.1538266639787,1.15501
209.0,463.4572486826442,13.1445299755135,1.15512
210.0,463.4085766489408,13.1338335940067,1.15547
211.0,463.57171701156574,13.1303484406512,1.15686
212.0,463.62933845319975,13.1182713489863,1.15806
213.0,463.6337711381692,13.1130988039164,1.15843
214.0,463.6379521733813,13.1079026569243,1.1588
215.0,463.6167268284079,13.0932312943443,1.15961
216.0,463.5969257111609,13.0880269929919,1.15981
217.0,463.5781824541826,13.0829403463126,1.16001
218.0,463.50987249504,13.0682054001846,1.16049
219.0,463.53362221583313,13.0624300881778,1.16104
220.0,463.54448854636536,13.0531376460677,1.16173
221.0,463.4806682015709,13.0419634405248,1.16201
222.0,463.5307637811341,13.036041452677198,1.16276
