Time (msec),Temperature (K),Pressure (bar),Volume (cm3)
0.0,844.77,19.4913586109134,6.4505
1.0,844.9122461104944,19.4844041090181,6.45531
2.0,844.8908976390123,19.4794906168967,6.45605
3.0,844.9075742627832,19.480973691732,6.45605
4.0,844.8259078951243,19.4737117885998,6.45605
5.0,844.8205649156407,19.4732367522738,6.45605
6.0,844.4648890585335,19.465726365742,6.45013
7.0,843.1933272558008,19.46089595022,6.4236
8.0,844.3840700769375,19.4630632042775,6.44902
9.0,843.5350224816802,19.4552606549783,6.43242
10.0,843.7361355081291,19.4445860868934,6.43942
11.0,844.0076594033233,19.423600939766,6.4505
12.0,843.4864188005299,19.390885770189005,6.44717
13.0,842.1222574542143,19.3507924860164,6.42727
14.0,841.8388896883569,19.324187366507005,6.42764
15.0,840.850176105695,19.300734289997504,6.41186
16.0,839.079524887612,19.2791619495859,6.37864
17.0,836.0420877241517,19.2477858146427,6.32051
18.0,830.8717468020004,19.224753493566705,6.21498
19.0,826.953367942578,19.187290071584307,6.14047
20.0,821.4989724144147,19.150552214824803,6.03402
21.0,818.335699373936,19.108750831773207,5.97754
22.0,811.8090369161542,19.071040529123604,5.85089
23.0,806.7311965805386,19.042241041197205,5.75337
24.0,800.4480234421943,19.005548798835807,5.63431
25.0,793.1040933540638,18.982053572895,5.4929
26.0,784.6887039594563,18.952905008711905,5.33408
27.0,776.6100963570763,18.9154338982161,5.18627
28.0,767.9760037539136,18.879069475997504,5.03039
29.0,757.4083254262493,18.836324519788207,4.84326
30.0,746.9287782336135,18.78823327728441,4.66307
31.0,735.3280135448574,18.7662242792978,4.46299
32.0,723.2099738113714,18.7276633698065,4.26254
33.0,710.1701142500137,18.685818323609507,4.05332
34.0,696.3227692824665,18.649628088466205,3.83708
35.0,681.475736993006,18.6164241202027,3.61269
36.0,665.4472136413876,18.5822311566734,3.37978
37.0,647.9599520944696,18.5501833989038,3.13617
38.0,629.5183698007287,18.5247241949225,2.89077
39.0,609.377806156723,18.4922335006219,2.63773
40.0,587.5040929232013,18.4593459431918,2.37927
40.1,585.2412268984849,18.4552197039402,2.35357
40.2,582.981858935243,18.4517156985988,2.32803
40.3,580.637305788468,18.4477080650282,2.30175
40.4,578.2616061775258,18.4416275457587,2.2755
40.5,575.8630291466645,18.4353894390712,2.2492
40.6,573.3938589052423,18.4297353133681,2.22226
40.7,570.9028843415733,18.4269927005199,2.19503
40.8,568.4006310876597,18.4258892137037,2.16775
40.9,565.8992930413064,18.4225829095115,2.14089
41.0,563.4212021791196,18.4183841345125,2.11457
41.1,560.9476859623725,18.4142673003112,2.0885
41.2,558.4138191613897,18.410995600824,2.06193
41.3,555.787349808716,18.4077190912864,2.03461
41.4,553.120895596522,18.4048059518218,2.00708
41.5,550.4629403910135,18.4027513184508,1.97981
41.6,547.7778865325945,18.399862837313,1.95257
41.7,545.0425192152774,18.3965210488992,1.9251
41.8,542.203887108118,18.3934092776697,1.89683
41.9,539.3478594049778,18.3893226309101,1.86873
42.0,536.5582604193412,18.3864515913647,1.84146
42.1,533.7679635111372,18.3848261970102,1.81435
42.2,530.8838410348931,18.3805237036385,1.78679
42.3,527.9590991771568,18.375426063722,1.75917
42.4,525.0485246697094,18.3737470490209,1.73172
42.5,522.1079635594695,18.3732176832031,1.70419
42.6,519.0823716927476,18.370632522165,1.6763
42.7,515.9760921250011,18.3660913923243,1.6481
42.8,512.8990771397141,18.3614102331842,1.62048
42.9,510.0753730719954,18.3566018881908,1.59543
43.0,507.4121927574146,18.3525863964496,1.572
43.1,504.6649809444864,18.3501014580038,1.54796
43.2,502.13501237545,18.3458995242339,1.52615
43.3,500.3274829710375,18.3396089131985,1.51089
43.4,497.99844089072445,18.3354872389932,1.49113
43.5,494.82969519637794,18.3341567278889,1.46426
43.6,491.8493952548848,18.3342144529224,1.4392
43.7,489.3581925035936,18.3328300004513,1.41855
43.8,487.6852342835609,18.3298007548843,1.40491
43.9,485.68440808613167,18.3272046641004,1.38865
44.0,483.00963274148745,18.3232457224524,1.36713
44.1,480.715461015146,18.3173563103284,1.34898
44.2,478.6532216565639,18.3151552924462,1.33263
44.3,476.5140182915591,18.3146654633312,1.31571
44.4,474.5284298783036,18.3113650738697,1.30028
44.5,472.830293916189,18.3077051244221,1.28722
44.6,471.3480578375113,18.3072090271631,1.27575
44.7,469.6511742448679,18.3074357853334,1.26266
44.8,467.9174368245443,18.3060114574781,1.24946
44.9,466.3709504622718,18.3027684441103,1.23786
45.0,464.88951208025566,18.2979062149428,1.2269
45.1,463.1319601298928,18.2945265612779,1.21386
45.2,461.5199921968252,18.2926305029537,1.20192
45.3,459.9795125976913,18.2908293207893,1.19058
45.4,458.770904610624,18.2871490348298,1.18184
45.5,457.1722449548528,18.2810626302523,1.1704
45.6,454.7609884544079,18.27611958465,1.15308
45.7,454.1000420411417,18.2745777408714,1.14837
45.8,454.0168739677294,18.273270509796,1.14783
45.9,452.5064737702734,18.2705272277223,1.13708
46.0,451.24915871430346,18.2682599952314,1.12818
