Time (msec),Temperature (K),Pressure (bar),Volume (cm3)
0.0,852.0,15.0080199208884,5.94475
1.0,845.0241172818536,14.5352438112901,5.94606
2.0,844.2577458956335,14.4812413103255,5.94704
3.0,844.848425225308,14.5052769847011,5.95162
4.0,843.2995193823247,14.4029711693844,5.95162
5.0,842.1444122868439,14.3270245784635,5.95162
6.0,841.2012426038566,14.2652328890021,5.95162
7.0,839.4292670873809,14.1928305539743,5.93821
8.0,839.172681082634,14.1330009467102,5.95162
9.0,838.0977016470226,14.0831634962424,5.9454
10.0,836.6025926520673,14.053092396973105,5.92452
11.0,837.2811516879045,14.0167528045693,5.94966
12.0,835.9580598207871,13.9833310287502,5.93332
13.0,834.8377008970491,13.9504337315725,5.92095
14.0,834.1198719007315,13.914533280088198,5.9177
15.0,832.7597567589106,13.883632960353,5.89988
16.0,831.6873373499889,13.8649315671635,5.88407
17.0,829.0582556609991,13.8499291384752,5.83576
18.0,826.2704259910857,13.839672909710998,5.78304
19.0,821.1604474935618,13.8331684842447,5.68342
20.0,816.6167699950964,13.8089366939717,5.6013
21.0,812.1101803588193,13.78342803648,5.52099
22.0,807.729671899166,13.7645546217121,5.44185
23.0,801.8943834547534,13.735802214867904,5.33854
24.0,796.2380776099455,13.719280083917605,5.23632
25.0,789.784388312767,13.706218048920002,5.11958
26.0,781.6795329040755,13.701151636377698,4.97226
27.0,773.4114276953775,13.6975272699355,4.82441
28.0,765.998652478086,13.6923650328856,4.69478
29.0,755.4639057275795,13.6858104638759,4.51425
30.0,746.1264593535791,13.6779567189584,4.35851
31.0,735.1264419361256,13.6712934396487,4.17893
32.0,723.0048839308377,13.6672833016706,3.98592
33.0,710.2822263222453,13.6599250877591,3.79029
34.0,697.1470212565732,13.6557868089438,3.59425
35.0,682.9847251007737,13.6586453876737,3.38902
36.0,667.3081091032941,13.6641883082083,3.17052
37.0,650.883549765722,13.6674282425176,2.9521
38.0,632.9650751239756,13.6820614666792,2.72363
39.0,613.4355480262188,13.69518752181,2.48858
40.0,592.2064212549558,13.7038659082865,2.24929
40.1,590.0292383328616,13.7036504723913,2.22577
40.2,587.7658465266026,13.7043390349029,2.20138
40.3,585.4167220974048,13.7050642466477,2.17625
40.4,583.0435107125726,13.7064259361579,2.15098
40.5,580.7307283746616,13.707656880288,2.12655
40.6,578.445789976134,13.7081957214378,2.10267
40.7,576.0970556626069,13.7073797538161,2.07846
40.8,573.6881375537731,13.706613612587,2.05381
40.9,571.2755181570496,13.7080592853615,2.02907
41.0,568.8374203149489,13.7089451874955,2.00433
41.1,566.3582178056957,13.7077486165165,1.9796
41.2,563.8447938321481,13.7072062752902,1.95466
41.3,561.277035928949,13.7054263793791,1.92952
41.4,558.7339720406541,13.70510335708,1.90468
41.5,556.2245193687082,13.7070744830803,1.88014
41.6,553.6520323870619,13.7071975881856,1.85539
41.7,551.0320624729659,13.7079493841735,1.83034
41.8,548.3636836973085,13.7094831634459,1.80498
41.9,545.6260680332329,13.7084771740232,1.77945
42.0,542.8566326884247,13.706217754016,1.75398
42.1,540.1567023652593,13.7059030043415,1.7292
42.2,537.4342305126967,13.7068273600652,1.70433
42.3,534.6084892381674,13.7070665846453,1.67883
42.4,531.7022437387973,13.7050043935469,1.65307
42.5,528.8061226733736,13.703458044883,1.62761
42.6,525.9469017099656,13.707061546192,1.60228
42.7,522.9762054607343,13.7098542118225,1.57632
42.8,520.0193485935661,13.706985782992096,1.55123
42.9,517.6026630055633,13.7045869900632,1.53092
43.0,515.362911428443,13.705917058722,1.51196
43.1,512.6143626795053,13.7082159734058,1.48885
43.2,509.9136732505975,13.7099599382536,1.46641
43.3,507.1357176743815,13.7106011428076,1.44365
43.4,503.9552056650591,13.7110207687221,1.4179
43.5,501.5199149030626,13.7128894289666,1.39827
43.6,500.2331869442333,13.714015904539,1.38796
43.7,498.8245319194039,13.7145815021434,1.37678
43.8,497.1230673688428,13.7165502114648,1.36326
43.9,494.6427654836052,13.7185675877473,1.34377
44.0,491.92608152592186,13.7197000166296,1.32271
44.1,490.693845584253,13.7211877584553,1.31316
44.2,490.42741933265626,13.7229385541617,1.311
44.3,488.6352497987961,13.7250583866293,1.29721
44.4,485.91083654377775,13.7275559062578,1.27648
44.5,484.239593865414,13.7294068624958,1.26385
44.6,482.7065875352978,13.730766489267,1.25236
44.7,480.6069366452012,13.7310460051098,1.23684
44.8,478.5741453633791,13.7307704110909,1.22197
