Time (msec),Temperature (K),Pressure (bar),Volume (cm3)
0.0,843.11,16.4572380221366,6.19314
1.0,842.6411065953629,16.4482388028571,6.18581
2.0,842.8422964522763,16.4370917099527,6.19314
3.0,842.6552689022311,16.4230275987804,6.19314
4.0,842.1189895392581,16.4077096163168,6.18616
5.0,841.612496913644,16.3796147546358,6.18338
6.0,841.4410482561414,16.3568195750933,6.18616
7.0,841.2562291045247,16.3205953280754,6.19244
8.0,840.689734723513,16.2993135349901,6.18651
9.0,840.7571851241265,16.2807991135316,6.19314
10.0,840.0153672581848,16.2563541371694,6.18442
11.0,839.1021313278989,16.2425152711498,6.16912
12.0,839.6393344357502,16.2209021999022,6.18651
13.0,838.1688163502524,16.1864714405593,6.1653
14.0,837.3359371998218,16.157591330686,6.15595
15.0,835.3658730292414,16.1393401702139,6.11978
16.0,833.7933333760875,16.1281166472455,6.09006
17.0,832.2731891785346,16.1130715882002,6.06258
18.0,828.2869048091154,16.0976395855004,5.98423
19.0,822.6931512998473,16.0795683183407,5.87437
20.0,818.3728490771938,16.0558152556663,5.793
21.0,814.5066217813303,16.0358077317299,5.72043
22.0,808.0735407241792,16.0083516146617,5.59939
23.0,803.5653378413133,15.983670363175,5.5169
24.0,798.128142405543,15.963768296861,5.41591
25.0,791.6140972627562,15.9402994271831,5.29634
26.0,782.7814005775931,15.9213934540754,5.13375
27.0,773.9351802900121,15.900753171655,4.9745
28.0,764.7144216793647,15.8828338217805,4.81105
29.0,754.5755464411227,15.8547146281199,4.63712
30.0,744.9930961268533,15.8338517972377,4.47521
31.0,733.1999750259192,15.8160040285479,4.27934
32.0,721.8051161070445,15.8033428208562,4.09448
33.0,708.5267647542237,15.7860000656649,3.88609
34.0,694.8346132643766,15.7633759083924,3.67926
35.0,680.1529896853341,15.7466879647915,3.46419
36.0,664.3157681869978,15.7285525922738,3.24144
37.0,647.6201779862071,15.7072932719949,3.0171
38.0,629.3476522595138,15.6929695966508,2.78208
39.0,609.3609610717299,15.6732024828251,2.53939
40.0,587.725735328737,15.6548834315876,2.29218
40.1,585.4681008500554,15.6538822233604,2.26722
40.2,583.1391314985085,15.649987072205,2.24196
40.3,580.7997280771515,15.6450125456107,2.21688
40.4,578.481172766909,15.6415294484808,2.19205
40.5,576.0767792396526,15.6396665086642,2.16631
40.6,573.6570486516634,15.6389101803872,2.14049
40.7,571.2663913917706,15.6380319412811,2.11519
40.8,568.8476112810304,15.6373482434973,2.08977
40.9,566.383039989253,15.636378355035598,2.0641
41.0,563.9245903839808,15.6347693089619,2.03876
41.1,561.4325635091959,15.6339749959584,2.0132
