Time (msec),Temperature (K),Pressure (bar),Volume (cm3)
0.0,821.06,18.6348620603005,6.07652
1.0,821.2895527845003,18.6290110090874,6.08279
2.0,820.9535902567377,18.6226522605804,6.07722
3.0,820.7672137405718,18.6236412241333,6.07304
4.0,821.0374517632033,18.6227923421974,6.07896
5.0,821.1477909500956,18.6166113011019,6.08279
6.0,820.6383215254731,18.6138112232257,6.07269
7.0,821.0636071516847,18.6092507566832,6.08279
8.0,820.9248094685598,18.5971197974145,6.08279
9.0,820.7566526850047,18.5824306924104,6.08279
10.0,820.3940255065643,18.5838123523901,6.07478
11.0,819.9689330287734,18.568234856107,6.06956
12.0,819.347047931301,18.5612297502127,6.05811
13.0,819.5017987274103,18.5489577109255,6.06435
14.0,819.2697696682953,18.5387365782231,6.06192
15.0,817.2050538348919,18.5256161342537,6.02153
16.0,814.8579111229444,18.5094975511329,5.9761
17.0,812.8062286742187,18.4954378072513,5.93655
18.0,807.7781613569365,18.4767299459262,5.8366
19.0,803.0412461626357,18.4637057645801,5.74234
20.0,800.1978438900077,18.4536170209808,5.68674
21.0,796.2082365283098,18.4434743274018,5.60839
22.0,790.0138927981973,18.426714342936,5.48832
23.0,784.9858248269226,18.406317863008,5.39353
24.0,779.0574112150435,18.3970636262959,5.27993
25.0,772.3538044805546,18.3635946656284,5.15811
26.0,764.1249049678559,18.3504765665995,5.00529
27.0,756.5371742281313,18.3376969716353,4.8671
28.0,747.1038446441871,18.314448411508,4.70012
29.0,737.662351990044,18.3004761469876,4.53496
30.0,727.3997135133616,18.2827792429553,4.36014
31.0,715.8747324570354,18.2621353743358,4.16914
32.0,703.7782084911726,18.2475699633642,3.97335
33.0,691.773079302546,18.2354731890184,3.78461
34.0,678.6257290699048,18.2036356905367,3.58735
35.0,663.57747673798,18.188455478958,3.3668
36.0,648.26213242229,18.1702331630101,3.15185
37.0,631.2915522164108,18.151378819321,2.92404
38.0,613.2344770443988,18.1287408241864,2.69386
39.0,593.2676525648358,18.1081042166321,2.45283
40.0,572.0615848297891,18.0906324985144,2.21214
40.1,569.8223961182041,18.087509466878,2.18777
40.2,567.5636931725998,18.0847310253828,2.16333
40.3,565.2360163842839,18.0847002786583,2.13808
40.4,562.899849524909,18.0851464474155,2.11289
40.5,560.574172188758,18.0842556326515,2.08812
40.6,558.2303685108668,18.0825067706767,2.06342
40.7,555.8404825410166,18.0790409481958,2.03857
