Time (msec),Temperature (K),Pressure (bar),Volume (cm3)
0.0,810.36,17.7671368207762,5.93713
1.0,809.5592006912282,17.6776404458962,5.94257
2.0,809.1475123429276,17.6484435420217,5.94121
3.0,809.3501198799692,17.6614012357216,5.94223
4.0,808.775882204016,17.6349084240002,5.93679
5.0,809.1481257183347,17.6430427326983,5.94257
6.0,809.0771859209157,17.6370772343814,5.94257
7.0,808.4618950150467,17.6017111677952,5.93849
8.0,808.7590613485125,17.6103437451299,5.94257
9.0,808.7169953720852,17.6068109935288,5.94257
10.0,808.3948360270955,17.5974405476621,5.93815
11.0,807.9917114836858,17.5812812113206,5.93373
12.0,807.7235479448032,17.5764580264146,5.92931
13.0,807.3118108116287,17.5677189208273,5.92286
14.0,806.7224709531587,17.5589549635142,5.9127
15.0,805.3560886790287,17.5470447768426,5.88709
16.0,803.2873010037483,17.5362898984219,5.84664
17.0,799.9872563990432,17.5290640889965,5.78004
18.0,796.3582117242323,17.5191543914503,5.70783
19.0,792.2182455463188,17.5100280902543,5.62563
20.0,789.1124552740584,17.4946830240585,5.56646
21.0,784.5879607785425,17.4880246475221,5.4773
22.0,780.8220746369011,17.4758388814645,5.40531
23.0,774.9476677145368,17.465056632251,5.29235
24.0,768.4344451234787,17.4500146366085,5.16955
25.0,762.6941423289903,17.4421909182086,5.06166
26.0,754.8771260048309,17.430476842941,4.91729
27.0,746.7285384848333,17.4086730125742,4.77157
28.0,738.5413608656424,17.3997479023433,4.62537
29.0,729.1371909100561,17.3875640396206,4.46139
30.0,718.721278919651,17.3691270790103,4.28507
31.0,708.3921079654167,17.3583322053064,4.11335
32.0,696.8530795916612,17.3505511922266,3.9261
33.0,685.1496842960538,17.3362295562759,3.74292
34.0,672.3651378179384,17.3293253683869,3.54786
35.0,658.5960264616322,17.3152588179824,3.34621
36.0,643.5338192905122,17.3028067494926,3.13384
37.0,627.7322284381227,17.2845914107191,2.92124
38.0,610.4271239934787,17.271733316014,2.69848
39.0,591.939528840614,17.255181890491,2.47324
40.0,571.461281798873,17.2386576360241,2.23814
40.1,569.3598883979857,17.2362987719283,2.21493
40.2,567.1913394028837,17.2348329432131,2.19105
40.3,565.0128407666402,17.2340961301315,2.16716
40.4,562.8604748224822,17.2343773437902,2.14363
40.5,560.6410221560369,17.2333651434891,2.11966
40.6,558.4534835766441,17.2323133675641,2.09621
40.7,556.2416728991795,17.2317120738215,2.07263
40.8,553.9227422788334,17.2312339642429,2.04808
40.9,551.6045312973278,17.2307213413155,2.02373
41.0,549.3374097955337,17.2304414783487,2.00008
41.1,547.0220886013572,17.2290159123385,1.97621
41.2,544.6776406924697,17.228384453037,1.95216
41.3,542.2961693006897,17.2292552491604,1.9278
41.4,539.8564606597398,17.2285674710759,1.90318
41.5,537.4108383645774,17.2258462450886,1.87887
41.6,534.9739707375295,17.2225926463074,1.85489
41.7,532.4785064699853,17.2197446944156,1.8305
41.8,529.957661202472,17.2174146138719,1.80603
41.9,527.4639050850402,17.2159116937137,1.78197
42.0,524.9520126947368,17.2148677884316,1.75791
42.1,522.3351232267207,17.2136345977398,1.73308
42.2,519.6357918448749,17.2116392789622,1.70776
42.3,516.9083318433305,17.2101771182314,1.68238
42.4,514.1684860490494,17.2097146458182,1.65706
42.5,511.40707855576665,17.2088547557406,1.63182
42.6,508.6522578748962,17.2074172481299,1.60693
42.7,505.81178010080015,17.2042425198314,1.58164
42.8,502.9675515541477,17.2002417581669,1.55663
42.9,500.5522587810861,17.1988469013176,1.53546
43.0,498.4472172048127,17.1968969997369,1.51721
43.1,495.9735530157828,17.1932671192476,1.49603
43.2,493.30907525064185,17.1904554752657,1.47336
43.3,490.9882613610151,17.1893696741777,1.45371
43.4,489.24623921168615,17.18972558894,1.439
43.5,487.1928179507677,17.1905587690362,1.42176
43.6,484.56195130764695,17.1892970889955,1.40001
43.7,482.4769699974705,17.1865671192199,1.38303
43.8,480.62040561367314,17.1857004254718,1.36793
43.9,478.3542082531125,17.1853913363585,1.3496
44.0,476.0070559599671,17.1830512203192,1.3309
44.1,474.1510667114628,17.1801803596497,1.31629
44.2,472.6290304512676,17.1779329063154,1.30438
44.3,470.6904463110043,17.1777876349824,1.28916
44.4,468.3341853755607,17.178646008501,1.27076
44.5,466.1519194417983,17.1776319778114,1.25397
