1000/T (K⁻¹),Original_High_Temp_IDTs (ms),Predicted_High_Temp_IDTs (ms)
1.1445969301910333,12.8,14.0
1.1562698733884489,23.5,16.0
1.166616113301757,19.2,13.0
1.166616113301757,20.9,12.0
1.170686022008897,10.5,18.0
1.1737089201877935,47.1,25.0
1.1821588585074063,29.0,15.0
1.1877613074876474,19.4,22.0
1.1962437944853161,61.1,18.0
1.1990407673860912,13.6,18.0
1.2033839155705846,34.4,28.0
1.2298610257040954,65.2,35.0
1.2363384600168141,74.9,250.0
