Parameter,Value
A1,3.5390437672314603e-09
n1,-1.2358948816393753
E1,27350.14614175234
Ah,8.696765468326431e-06
nh,-1.120346499648277
Eh,14428.072950413489
Teq,760.6407913264494
k,0.07297169523255079
w,-0.6110705675143585
C0,6752.14769977825
xf,0.934833359709389
