1000/T (K⁻¹),Original_Total_IDTs (ms),Predicted_Total_IDTs (ms)
2.314472127458588,55.8,95.0
2.315407233928159,12.7,11.0
2.3162011697199305,16.4,17.0
2.3172380896453677,27.2,65.0
2.3285756863550415,109.2,67.0
